PaperID,EvaluationFamily,Paper,Year,VenueOrSource,EvaluationTarget,LanguagesOrDatasets,MetricOrProtocol,RobustnessAxis,FairnessOrMetadataAxis,ReproducibilityAxis,Strength,Limitation,UseInReview,VerificationStatus,UseLevel
BF01,Multilingual benchmark,ML-SUPERB,2023,Interspeech 2023,Multilingual SSL speech model evaluation,143 languages,ASR and LID,Language coverage,Language-family coverage,Benchmark protocol,Strong multilingual ASR/LID benchmark anchor.,Does not cover all dialect/domain/fairness axes.,Core multilingual evaluation anchor.,Verified-primary-source,Core-citable
BF02,Multilingual benchmark,FLEURS,2022,arXiv,Few-shot universal speech representations,102 languages,"ASR, LID, translation, retrieval",Few-shot evaluation,Language coverage,Public benchmark,Broad multilingual few-shot benchmark.,Aggregate language coverage needs dialect/domain reporting.,Core multilingual benchmark carryover.,Verified-secondary-source,Core-citable
BF03,Multilingual benchmark,XTREME-S,2022,arXiv,Cross-lingual speech representations,102 languages; 10+ families; 3 domains,Speech task benchmark,Cross-lingual robustness,Language-family coverage,Public benchmark,High-value cross-lingual benchmark.,Still needs low-resource-specific failure analysis.,High-value benchmark coverage evidence.,Verified-secondary-source,High-value-citable
BF04,Low-resource benchmark,LoASR-Bench,2026,arXiv,SpeechLM ASR on low-resource languages,25 languages; 9 families,ASR benchmark,Low-resource language coverage,Script/language-family coverage,Benchmark protocol,Directly aligned with low-resource SpeechLM evaluation.,2026 arXiv watchlist only.,Watchlist-current.,Watchlist-ArXiv,Watchlist-current
BF05,Orthographic/script normalization,Lenient Japanese ASR Evaluation,2023,arXiv,Orthographic and spelling-sensitive ASR evaluation,Japanese ASR,Lenient CER-style evaluation,Transcript normalization,Script/orthography sensitivity,Evaluation protocol,Shows spelling inconsistency can distort ASR metrics.,Japanese-specific case.,Use for orthographic/script-sensitive evaluation.,Verified-secondary-source,High-value-citable
BF06,Metric critique,Advocating CER for Multilingual ASR Evaluation,2024,arXiv,WER/CER multilingual metric critique,Multilingual ASR,WER versus CER,Metric robustness,Script and word-boundary sensitivity,Metric reporting,Useful CER critique for multilingual ASR.,arXiv-only; do not overgeneralize.,Watchlist metric critique.,Watchlist-ArXiv,Watchlist-current
BF07,Noise/far-field robustness,CHiME-6,2020,arXiv,Far-field multi-speaker ASR,Home conversational speech,WER under unsegmented distant recordings,"Noise, far-field, overlap",Speaker/conversation variation,Open baselines,Strong realistic robustness benchmark.,"English challenge, not low-resource-specific.",High-value robustness evidence.,Verified-secondary-source,High-value-citable
BF08,Noise/far-field robustness,CHiME-7 DASR,2023,arXiv,Distant meeting transcription,Multiple meeting scenarios and devices,DASR/diarization-aware ASR,"Far-field, multi-device, diarization",Meeting speaker variation,Challenge baselines,Extends robust ASR to distant meeting transcription.,Not low-resource-specific.,High-value robustness evidence.,Verified-secondary-source,High-value-citable
BF09,Demographic fairness,Racial Disparities in Automated Speech Recognition,2020,PNAS,Commercial ASR fairness audit,African American and white American English speakers,WER disparity analysis,Dialect/acoustic mismatch,Race/dialect speaker groups,Audit protocol,Found large racial disparities in commercial ASR WER.,Primary page restricted locally; DOI indicated.,High-value demographic fairness evidence.,Verified-secondary-source; PNAS DOI indicated,High-value-citable
BF10,Demographic fairness,Casual Conversations ASR fairness transcriptions,2021,arXiv,ASR fairness benchmark metadata,Casual Conversations,ASR transcriptions with demographics,Conversational speech,"Age, gender, skin-tone metadata",Dataset documentation,Supports metadata-aware fairness evaluation.,Dataset framing not low-resource-specific.,High-value fairness evidence.,Verified-secondary-source,High-value-citable
BF11,Demographic fairness,Fair-Speech dataset,2024,arXiv,ASR fairness dataset,Fair-Speech,Fairness evaluation,Speech variation,Self-reported demographic metadata,Dataset documentation,Current fairness dataset watchlist.,arXiv-only.,Watchlist-current.,Watchlist-ArXiv,Watchlist-current
BF12,Dialect/accent fairness,Reexamining Racial Disparities,2024,arXiv,Dialect fairness and provenance confounding,CORAAL / Whisper,WER by dialect/provenance,Recording provenance,Dialect and recording-source metadata,Audit protocol,Warns provenance can confound dialect fairness audits.,arXiv-only.,Watchlist-current.,Watchlist-ArXiv,Watchlist-current
BF13,Reproducibility/toolkit,ESPnet,2018,arXiv,Reproducible end-to-end speech recipes,Toolkit-level,Recipes and decoding settings,N/A,N/A,Open-source recipes,Supports reproducibility as evaluation dimension.,Not performance evidence.,Background support.,Verified-secondary-source,Background-support
BF14,Reproducibility/toolkit,SpeechBrain,2021,arXiv,Open speech toolkit and pretrained models,Toolkit-level,Recipes and inference scripts,N/A,N/A,Open-source recipes/models,Supports reproducible speech experiments.,Not performance evidence.,Background support.,Verified-secondary-source,Background-support
BF15,Reproducibility/toolkit,Kaldi,2011,ASRU 2011,Foundational ASR toolkit,Toolkit-level,Training/decoding recipes,N/A,N/A,Open-source toolkit,Foundational reproducibility toolkit.,Not performance evidence.,Background support.,Verified-secondary-source,Background-support
BF16,Multimodal robustness,AV-HuBERT,2022,arXiv,Self-supervised AV speech representation,Audio-visual speech,AVSR representation evaluation,Noise/multimodal robustness,Limited language coverage,Public model/benchmark context,Core AVSR representation anchor.,AVSR coverage remains narrow.,Core multimodal robustness anchor.,Verified-secondary-source,Core-citable
BF17,Multimodal robustness,Robust Self-Supervised AVSR,2022,arXiv,Noise-robust AVSR,Audio-visual ASR,WER under noise/interference,Noise/interfering speech,Limited language coverage,Benchmark protocol,Shows visual stream helps under degraded audio.,Does not solve low-resource ASR broadly.,High-value multimodal robustness evidence.,Verified-secondary-source,High-value-citable
BF18,AVSR benchmark,MuAViC,2023,Interspeech 2023,Multilingual AV ASR/ST,MuAViC multilingual AV corpus,AV-ASR and AV-ST,Multimodal robustness,Multilingual coverage,Public corpus,Adds multilingual AVSR/ST benchmark evidence.,Still limited relative to global low-resource diversity.,High-value multilingual AVSR benchmark evidence.,Verified-primary-source,High-value-citable
BF19,AVSR benchmark,LRS3-TED,2018,arXiv,Visual speech dataset,LRS3-TED,Visual/audio-visual speech recognition,Video-domain robustness,English TED-domain,Public dataset,Large-scale AVSR dataset background.,English/TED concentration.,Background AVSR benchmark history.,Verified-secondary-source,Background-support
