PaperID,CitationKey,Title,Year,Venue,VerificationStatus,UseLevel,RecommendedUse,Notes
BA22,awobade2026_afrivox,AfriVox-v2: A Domain-Verticalized Benchmark for In-the-Wild African Speech Recognition,2026,arXiv 2026,Watchlist-ArXiv,Watchlist-only,Emerging-direction only; do not use as sole support for central claims.,"Use mainly in future agenda, LLM-assisted ASR, hallucination, contextual ASR, or 2026 benchmark watchlist."
BA23,lin2025_formosanbench,FormosanBench: Benchmarking Low-Resource Austronesian Languages in the Era of Large Language Models,2025,arXiv 2025,Watchlist-ArXiv,Watchlist-only,Emerging-direction only; do not use as sole support for central claims.,"Use mainly in future agenda, LLM-assisted ASR, hallucination, contextual ASR, or 2026 benchmark watchlist."
BA24,citation_block_b_31,LoASR-Bench: Evaluating Large Speech Language Models on Low-Resource Automatic Speech Recognition Across Language Families,2026,arXiv 2026,Watchlist-ArXiv,Watchlist-only,Emerging-direction only; do not use as sole support for central claims.,"Use mainly in future agenda, LLM-assisted ASR, hallucination, contextual ASR, or 2026 benchmark watchlist."
B20,citation_block_b_22,Omnilingual ASR: Open-Source Multilingual Speech Recognition for 1600+ Languages,2025,arXiv,Watchlist-ArXiv,Watchlist-only,Emerging-direction only; do not use as sole support for central claims.,"Use mainly in future agenda, LLM-assisted ASR, hallucination, contextual ASR, or 2026 benchmark watchlist."
B21,citation_block_b_23,Seed-ASR: Understanding Diverse Speech and Contexts with LLM-based Speech Recognition,2024,arXiv,Watchlist-ArXiv,Watchlist-only,Emerging-direction only; do not use as sole support for central claims.,"Use mainly in future agenda, LLM-assisted ASR, hallucination, contextual ASR, or 2026 benchmark watchlist."
B27,citation_block_b_29,Qwen3-ASR Technical Report,2026,arXiv,Watchlist-ArXiv,Watchlist-only,Emerging-direction only; do not use as sole support for central claims.,"Use mainly in future agenda, LLM-assisted ASR, hallucination, contextual ASR, or 2026 benchmark watchlist."
B30,citation_block_b_32,Multimodal In-context Learning for ASR of Low-resource Languages,2026,arXiv,Watchlist-ArXiv,Watchlist-only,Emerging-direction only; do not use as sole support for central claims.,"Use mainly in future agenda, LLM-assisted ASR, hallucination, contextual ASR, or 2026 benchmark watchlist."
BB21,citation_block_b_20_alt2,Making LLMs Better Many-to-Many Speech-to-Text Translators with Curriculum Learning,2025,Venue pending; primary source needed,Needs-primary-source-verification,Reserve,Emerging-direction only; do not use as sole support for central claims.,"Use mainly in future agenda, LLM-assisted ASR, hallucination, contextual ASR, or 2026 benchmark watchlist."
BD19,BD19,Adapting Where It Matters: Depth-Aware Adaptation for Efficient Multilingual Speech Recognition in Low-Resource Languages,2026,arXiv 2026,Watchlist-ArXiv,Watchlist-current,Emerging-direction only; do not use as sole support for central claims.,"Use mainly in future agenda, LLM-assisted ASR, hallucination, contextual ASR, or 2026 benchmark watchlist."
BE19,BE19,LESS: Large Language Model Enhanced Semi-Supervised Learning for Speech Foundational Models Using in-the-wild Data,2025,arXiv,Watchlist-ArXiv,Watchlist-current,Emerging-direction only; do not use as sole support for central claims.,"Use mainly in future agenda, LLM-assisted ASR, hallucination, contextual ASR, or 2026 benchmark watchlist."
BE20,BE20,ReHear: Iterative Pseudo-Label Refinement for Semi-Supervised Speech Recognition via Audio Large Language Models,2026,arXiv 2026,Watchlist-ArXiv,Watchlist-current,Emerging-direction only; do not use as sole support for central claims.,"Use mainly in future agenda, LLM-assisted ASR, hallucination, contextual ASR, or 2026 benchmark watchlist."
BF21,BF21,Hallucinations in Neural Automatic Speech Recognition: Identifying Errors and Hallucinatory Models,2024,arXiv,Watchlist-ArXiv,Watchlist-current,Emerging-direction only; do not use as sole support for central claims.,"Use mainly in future agenda, LLM-assisted ASR, hallucination, contextual ASR, or 2026 benchmark watchlist."
BF22,BF22,Hallucination Benchmark for Speech Foundation Models,2025,arXiv,Watchlist-ArXiv,Watchlist-current,Emerging-direction only; do not use as sole support for central claims.,"Use mainly in future agenda, LLM-assisted ASR, hallucination, contextual ASR, or 2026 benchmark watchlist."
BF23,BF23,ContextASR-Bench: A Massive Contextual Speech Recognition Benchmark,2025,arXiv,Watchlist-ArXiv,Watchlist-current,Emerging-direction only; do not use as sole support for central claims.,"Use mainly in future agenda, LLM-assisted ASR, hallucination, contextual ASR, or 2026 benchmark watchlist."
BF24,BF24,ASR Error Correction using Large Language Models,2024,arXiv 2409.09554,Watchlist-ArXiv,Watchlist-current,Emerging-direction only; do not use as sole support for central claims.,"Use mainly in future agenda, LLM-assisted ASR, hallucination, contextual ASR, or 2026 benchmark watchlist."
