"candidate_id","bibtex_key","year","title","venue_or_source","verification_status","source_url_or_identifier","theme","rq_alignment","target_section","planned_manuscript_use","central_or_emerging","notes"
"REC-003","peng25c_interspeech","2025","OWSM v4: Improving Open Whisper-Style Speech Models via Data Scaling and Cleaning","Interspeech 2025","Verified-primary-source","https://doi.org/10.21437/Interspeech.2025-1062","OWSM v4 and open Whisper-style models","RQ2; RQ3","Sections 4; 7","Open-model scaling, cleaning, and reproducibility evidence","Central-support","Official ISCA metadata, pages, authors, and DOI verified."
"REC-004","alabi25_interspeech","2025","AfriHuBERT: A Self-Supervised Speech Representation Model for African Languages","Interspeech 2025","Verified-primary-source","https://doi.org/10.21437/Interspeech.2025-1437","Regional multilingual SSL and African languages","RQ2; RQ4","Sections 4; 8","Region-centric continued-pretraining evidence","Supporting","Regional evidence; avoid universal claims."
"REC-007","dao25_interspeech","2025","Speechless: Speech Instruction Training Without Speech for Low Resource Languages","Interspeech 2025","Verified-primary-source","https://doi.org/10.21437/Interspeech.2025-1292","Low-resource SpeechLM adaptation","RQ2; RQ4","Sections 8; 11","Scarce-speech instruction-training evidence","Emerging-verified","Separate instruction-following evidence from direct ASR evidence."
"REC-008","fong25_interspeech","2025","Speech LLMs in Low-Resource Scenarios: Data Volume Requirements and the Impact of Pretraining on High-Resource Languages","Interspeech 2025","Verified-primary-source","https://doi.org/10.21437/Interspeech.2025-764","Low-resource SpeechLM evaluation","RQ2; RQ6","Sections 11; 13","Evidence on SpeechLM data needs and high-resource priors","Emerging-verified","Bound conclusions to reported models and languages."
"REC-010","prakash25_interspeech","2025","Better Pseudo-Labeling with Multi-ASR Fusion and Error Correction by SpeechLLM","Interspeech 2025","Verified-primary-source","https://doi.org/10.21437/Interspeech.2025-1707","Pseudo-labeling and SpeechLLM correction","RQ5; RQ6","Sections 9; 11","Current pseudo-label fusion and correction evidence","Central-support","Require hallucination, shared-model-bias, and over-correction discussion."
"REC-011","rangappa25_interspeech","2025","Efficient Data Selection for Domain Adaptation of ASR Using Pseudo-Labels and Multi-Stage Filtering","Interspeech 2025","Verified-primary-source","https://doi.org/10.21437/Interspeech.2025-2580","Pseudo-label filtering and domain adaptation","RQ3; RQ5","Sections 7; 9","Multi-stage filtering and efficient data-selection evidence","Central-support","Supersedes provisional BC17 and BE18 citation-log records."
"REC-012","park25f_interspeech","2025","Character Error Rate Estimation for Semi-Supervised Training of Speech Recognition for Arabic Dialects","Interspeech 2025","Verified-primary-source","https://doi.org/10.21437/Interspeech.2025-1799","Pseudo-label confidence and dialectal ASR","RQ5; RQ6","Sections 9; 10","Dialect-aware semi-supervised reliability evidence","Supporting","Arabic-dialect evidence should remain language-specific."
"REC-013","damianos25_interspeech","2025","MSDA: Combining Pseudo-Labeling and Self-Supervision for Unsupervised Domain Adaptation in ASR","Interspeech 2025","Verified-primary-source","https://doi.org/10.21437/Interspeech.2025-695","Pseudo-labeling and domain adaptation","RQ4; RQ5","Sections 8; 9","Unsupervised domain-adaptation evidence","Central-support","Extract teacher, filtering, and target-domain assumptions before prose integration."
"REC-017","yang25m_interspeech","2025","Language-Aware Prompt Tuning for Parameter-Efficient Seamless Language Expansion in Multilingual ASR","Interspeech 2025","Verified-primary-source","https://doi.org/10.21437/Interspeech.2025-1875","PEFT adapters LoRA QLoRA and prompting for ASR","RQ4","Sections 8; 13","Parameter-efficient language-expansion evidence","Central-support","Check forgetting and total-compute reporting."
"REC-018","li25p_interspeech","2025","Efficient Multilingual ASR Finetuning via LoRA Language Experts","Interspeech 2025","Verified-primary-source","https://doi.org/10.21437/Interspeech.2025-1374","PEFT adapters LoRA QLoRA for ASR","RQ4","Sections 8; 13","ASR-specific LoRA expert evidence","Central-support","Separate trainable-parameter efficiency from end-to-end cost."
"REC-019","bagat25_interspeech","2025","Mixture of LoRA Experts for Low-Resourced Multi-Accent Automatic Speech Recognition","Interspeech 2025","Verified-primary-source","https://doi.org/10.21437/Interspeech.2025-775","PEFT LoRA and multi-accent ASR","RQ4; RQ6","Sections 8; 10","Multi-accent LoRA adaptation evidence","Central-support","Accent datasets and routing assumptions constrain generality."
"REC-021","yang25p_interspeech","2025","Adapting Whisper for Parameter-Efficient Code-Switching Speech Recognition via Soft Prompt Tuning","Interspeech 2025","Verified-primary-source","https://doi.org/10.21437/Interspeech.2025-2549","PEFT prompting and code-switching ASR","RQ4; RQ6","Sections 8; 10","Prompt-tuning and code-switching evidence","Supporting","Language-pair and switch-pattern specific."
"REC-022","sudo25b_interspeech","2025","OWSM-Biasing: Contextualizing Open Whisper-Style Speech Models for Automatic Speech Recognition with Dynamic Vocabulary","Interspeech 2025","Verified-primary-source","https://doi.org/10.21437/Interspeech.2025-2621","LLM-assisted contextual ASR correction and biasing","RQ2; RQ6","Sections 4; 11","Open-model contextual-biasing evidence","Emerging-verified","Require leakage and over-correction checks."
"REC-023","yong25_interspeech","2025","Effects of Speaker Count, Duration, and Accent Diversity on Zero-Shot Accent Robustness in Low-Resource ASR","Interspeech 2025","Verified-primary-source","https://doi.org/10.21437/Interspeech.2025-2351","Accent robustness and low-resource evaluation","RQ1; RQ6","Sections 3; 10","Data-composition and accent-robustness evidence","Central-support","Dataset-dependent evidence."
"REC-024","mehralian25_interspeech","2025","Leveraging Geographic Metadata for Dialect-Aware Speech Recognition","Interspeech 2025","Verified-primary-source","https://doi.org/10.21437/Interspeech.2025-1839","Dialect-aware evaluation and metadata","RQ1; RQ3; RQ6","Sections 5; 10","Geographic metadata and dialect-aware modeling evidence","Central-support","Geography is sensitive and an imperfect dialect proxy."
"REC-025","yan25c_interspeech","2025","CS-FLEURS: A Massively Multilingual and Code-Switched Speech Dataset","Interspeech 2025","Verified-primary-source","https://doi.org/10.21437/Interspeech.2025-2247","Code-switching dataset and multilingual benchmarking","RQ1; RQ3; RQ6","Sections 5; 10","Dataset and benchmark evidence for code-switching evaluation","Central-support","Constructed switching may differ from natural code-switching."
"REC-027","hameed25_interspeech","2025","Automatic Speech Recognition for Low-Resourced Middle Eastern Languages","Interspeech 2025","Verified-primary-source","https://doi.org/10.21437/Interspeech.2025-2296","Low-resource regional case studies","RQ1; RQ2; RQ6","Sections 3; 4; 10","Cross-language Middle Eastern ASR evidence","Supporting","Preserve language-specific script and resource conditions."
"REC-029","karpov25_interspeech","2025","From Scarcity to Sufficiency: Speech Recognition Pipeline for Zero-Resource Language","Interspeech 2025","Verified-primary-source","https://doi.org/10.21437/Interspeech.2025-950","Zero-resource pipeline and regional case study","RQ1; RQ3; RQ4","Sections 3; 7; 8","Pipeline-level evidence for building ASR under scarcity","Central-support","Pipeline and language setting constrain transfer."
"REC-032","blaschke25_interspeech","2025","A Multi-Dialectal Dataset for German Dialect ASR and Dialect-to-Standard Speech Translation","Interspeech 2025","Verified-primary-source","https://doi.org/10.21437/Interspeech.2025-318","Dialect dataset and task-boundary evaluation","RQ1; RQ3; RQ6","Sections 5; 10; 11","Dataset evidence separating transcription and translation","Central-support","Do not conflate dialect ASR with dialect-to-standard translation."
"REC-034","gao25g_interspeech","2025","The Multimodal Information Based Speech Processing (MISP) 2025 Challenge: Audio-Visual Diarization and Recognition","Interspeech 2025","Verified-primary-source","https://doi.org/10.21437/Interspeech.2025-2017","AVSR and multimodal robustness","RQ6","Sections 10; 11","Recent AVSR challenge and protocol evidence","Supporting","Challenge conditions do not establish low-resource AVSR readiness."
"REC-038","wang25b_interspeech","2025","Calm-Whisper: Reduce Whisper Hallucination on Non-Speech by Calming Crazy Heads Down","Interspeech 2025","Verified-primary-source","https://doi.org/10.21437/Interspeech.2025-201","Hallucination evaluation and mitigation","RQ6","Sections 10; 11","Non-speech hallucination evidence and mitigation","Central-support","Whisper-specific; does not cover all semantic over-correction."
"REC-039","kuan25_interspeech","2025","Teaching Audio-Aware Large Language Models What Does Not Hear: Mitigating Hallucinations through Synthesized Negative Samples","Interspeech 2025","Verified-primary-source","https://doi.org/10.21437/Interspeech.2025-324","Audio-LLM hallucination mitigation","RQ6","Sections 10; 11","Negative-sample safeguard evidence","Emerging-verified","Synthetic negatives may not cover real language-specific failures."
"REC-041","ravenscroft25_interspeech","2025","Whilter: A Whisper-Based Data Filter for In-the-Wild Speech Corpora Using Utterance-Level Multi-Task Classification","Interspeech 2025","Verified-primary-source","https://doi.org/10.21437/Interspeech.2025-160","Data filtering and weakly labeled corpora","RQ3","Section 7","In-the-wild data-filtering evidence","Central-support","Filtering may remove difficult or minority speech disproportionately."
"REC-042","mitsumori25_interspeech","2025","Cross-Lingual Data Selection Using Clip-Level Acoustic Similarity for Enhancing Low-Resource Automatic Speech Recognition","Interspeech 2025","Verified-primary-source","https://doi.org/10.21437/Interspeech.2025-1399","Cross-lingual data selection","RQ3; RQ4","Sections 7; 8","Acoustic-similarity selection evidence","Central-support","Similarity may encode speaker or domain bias."
"REC-045","salihs25_interspeech","2025","A Cookbook for Community-Driven Data Collection of Impaired Speech in Low-Resource Languages","Interspeech 2025","Verified-primary-source","https://doi.org/10.21437/Interspeech.2025-2261","Community data collection and impaired speech","RQ1; RQ3; RQ6","Sections 5; 7; 13","Community-centered resource-building evidence","Central-support","Consent, privacy, and representativeness are central."
"REC-052","awobade2026_afrivox","2026","AfriVox: Probing Multilingual and Accent Robustness of Speech LLMs","EACL 2026","Verified-primary-source","https://doi.org/10.18653/v1/2026.eacl-long.122","SpeechLM accent robustness and African languages","RQ2; RQ6","Sections 10; 11; 13","Verified 2026 robustness and PEFT evidence","Emerging-verified","Official ACL Anthology metadata supersedes provisional AfriVox-v2 records; regional evidence is not global evidence."
