TaxonomyLayer,SubDimension,Definition,PrimaryRQ,SecondaryRQs,RelevantBlocks,CoreEvidenceIDs,SupportingPaperIDs,KeyClaimIDs,ManuscriptSections,EstablishedEvidence,InterpretiveSynthesis,ResidualRisk,WritingUse
Resource layer,Labeled speech scarcity,Limited verified paired speech and transcript data for supervised adaptation and evaluation,RQ1,RQ3|RQ6,A|C|F,CORE-01|CORE-03|CORE-09|CORE-10,BA01|BA04|BA13|BA15|BC03,C5|C-G1,3|5|12,Survey challenge and corpus evidence show labeled data is necessary but not sufficient,Labeled hours should be framed as one resource condition within a broader reliability problem,May sound generic if not tied to validation and benchmark design,Define low-resource beyond hour counts
Resource layer,Unlabeled speech availability,Available speech without reliable transcripts for SSL continued pretraining or adaptation,RQ2,RQ3|RQ4,B|C|D,CORE-08|CORE-15|CORE-16|CORE-22,BA11|BB02|BB03|BB09|BD04|BD05,C8|C-D1|C-G2,4|6|8,SSL and multilingual SSL show unlabeled speech can change the starting point,Unlabeled speech helps only when language domain and validation conditions are handled,Unlabeled data quality and provenance may be hidden,Explain foundation-model-era resource shift
Resource layer,Weakly labeled/web-mined data,Speech with noisy or indirect labels such as subtitles web captions or crawled transcripts,RQ2,RQ3|RQ6,B|C|F,CORE-26|CORE-27|CORE-34|CORE-36,BB14|BB16|BC05|BC12,C9|C-C6|C-G2|C-G3,4|5|7|10,Whisper MMS VoxPopuli and heterogeneous-source evidence show scale and source quality interact,Weak supervision expands coverage while moving risk into filtering validation and evaluation,Do not treat weak labels as clean labels,Discuss why web-scale supervision does not end low-resource ASR
Resource layer,Pseudo-labeled supervision,Machine-generated transcripts used as training labels after filtering or selection,RQ5,RQ3|RQ6,C|E,CORE-44|CORE-45|CORE-46|CORE-47|CORE-51,BE03|BE04|BE05|BE06|BE15,C2|C-E1|C-E3|C-G5,7|9|12,Pseudo-labeling can expand supervision but teacher errors and filtering determine value,Pseudo-labels are a supervision source with reliability conditions rather than free labeled data,Teacher quality and confidence thresholds are not comparable across studies,Set up pseudo-labeling reliability argument
Resource layer,Multilingual corpora,Cross-language corpora and benchmarks used for transfer evaluation and language coverage,RQ2,RQ1|RQ3|RQ6,A|B|C|F,CORE-03|CORE-04|CORE-12|CORE-33|CORE-34|CORE-52,BA04|BA07|BA17|BA19|BC04|BC05|BF02,C6|C7|C-C3|C-G1|C-G6,3|5|6|10,Common Voice MLS VoxPopuli FLEURS XTREME-S and ML-SUPERB improve coverage,Multilingual coverage must be interpreted through balance metadata and benchmark design,Language presence can hide dialect or domain absence,Support dataset and benchmark comparison
Resource layer,Multimodal/audio-visual resources,Speech paired with video visual speech cues or multimodal speech-text tasks,RQ6,RQ2|RQ3,F|B,CORE-28|CORE-57|CORE-58|CORE-59,BB17|BF16|BF17|BF18,C-F6|C-G7|C-G8,11|13,AVSR and speech-text foundation sources show multimodal promise under noisy conditions,Multimodal resources are promising but narrower and harder to evaluate than audio-only corpora,AVSR evidence may be language and domain concentrated,Frame AVSR as future agenda evidence
Language layer,Dialect variation,Within-language acoustic lexical and phonological variation across speaker communities,RQ1,RQ3|RQ6,A|F,CORE-06|CORE-13|CORE-14|CORE-55|CORE-56,BA09|BA18|BA21|BF09|BF10,C3|C-F4|C-G1|C-G6,3|5|10|12,Inclusive benchmark and fairness evidence show aggregate language scores can hide subgroup failures,Dialect variation makes low-resource status a coverage and evaluation problem,Metadata may be missing or inconsistent,Require dialect-aware reporting
Language layer,Orthographic inconsistency,Multiple accepted spellings formatting conventions diacritics spacing and punctuation practices,RQ1,RQ3|RQ6,C|F,CORE-07|CORE-35|CORE-53,BA10|BC08|BF05,C-C5|C-F1|C-G6,3|7|10,Data-quality and lenient-evaluation evidence show transcript conventions change measured errors,Orthography should be treated as a resource and evaluation variable,Some normalization evidence is language-specific,Connect normalization to metric comparability
Language layer,Code-switching,Utterances containing multiple languages or scripts in one speech event,RQ1,RQ4|RQ6,D|E|F,CORE-12|CORE-25|CORE-43,BD18|BE16|BF03,C-D6|C-E4|C-G7,3|8|9|11,Existing matrices flag code-switching as an adaptation and evaluation risk,Code-switching stresses tokenization language modeling and constrained correction,Direct Core 60 ASR evidence is thinner than general multilingual evidence,Use as caution in language condition and future agenda
Language layer,Morphology,Large surface-form variation from inflection derivation or compounding,RQ1,RQ6,A|F,CORE-01|CORE-12|CORE-53,BA01|BA17|BF05,C-F1|C-G1|C-G6,3|10,Morphology interacts with WER CER and tokenization choices,Metric interpretation must consider language structure and segmentation,Needs more language-specific evidence before strong claims,Use in evaluation limitations
Language layer,Script complexity,Non-Latin scripts multiple scripts optional marks spacing and text-normalization complexity,RQ1,RQ6,A|F,CORE-12|CORE-13|CORE-52|CORE-53,BA17|BA18|BF02|BF05,C-F1|C-F2|C-G6,3|5|10,Multilingual benchmark evidence and lenient scoring show script effects matter,Script complexity links resource preparation to fair comparison,Do not imply one universal normalization rule,Use in taxonomy and metric critique
Language layer,Language-family mismatch,Transfer difficulty caused by typological phonetic or orthographic distance from pretraining languages,RQ2,RQ4|RQ6,B|D|F,CORE-16|CORE-22|CORE-27|CORE-29,BB03|BB09|BB16|BB19|BD10,C9|C-D1|C-F8|C-G2,4|6|8|10,Multilingual SSL and low-resource SFM evaluation show transfer gains are uneven,Foundation-model benefit depends on language relatedness and coverage,Family-level claims need careful benchmark support,Guide adaptation and evaluation comparisons
Model layer,Hybrid ASR,Traditional ASR pipelines with acoustic language and pronunciation components,RQ2,RQ1,A|B,CORE-01|CORE-09,BA01|BA13,C-G1|C-G2,4|12,Low-resource ASR surveys and Babel work document pre-foundation constraints,Hybrid ASR provides historical baseline for resource and lexicon bottlenecks,Risk of overlong history,Use briefly in model evolution
Model layer,End-to-end ASR,Neural systems trained to map speech to token sequences with reduced pipeline modularity,RQ2,RQ4,A|B,CORE-02|CORE-44,BA02|BE03,C8|C-G2,4|6,Survey and self-training evidence show E2E systems shifted data and supervision needs,E2E simplifies pipelines but can raise labeled-data and regularization demands,Do not make it a method-by-method survey,Compare assumptions against foundation models
Model layer,SSL speech encoders,Self-supervised pretrained acoustic encoders such as wav2vec 2.0 HuBERT WavLM and related models,RQ2,RQ4,B|D,CORE-08|CORE-15|CORE-17|CORE-21,BA11|BB02|BB04|BB08,C8|C-D1|C-G2,4|6|8,SSL models are central foundation-era evidence,SSL reduces dependence on labeled data while leaving adaptation and evaluation bottlenecks,Some entries are verified-secondary and need careful wording,Support model taxonomy
Model layer,Multilingual SSL,SSL systems pretrained across many languages for cross-lingual transfer,RQ2,RQ4|RQ6,B|D|F,CORE-16|CORE-22|CORE-27|CORE-29,BB03|BB09|BB16|BB19,C9|C-D1|C-F8|C-G2,4|6|8|10,Multilingual SSL and MMS show scaling language coverage helps but unevenly,Multilinguality is a transfer condition not a guarantee of reliability,Aggregate results may hide language-family failures,Use in Sections 4 and 8
Model layer,Weakly supervised/foundation ASR,Large pretrained ASR systems trained with weak labels at scale,RQ2,RQ3|RQ6,B|C|F,CORE-26|CORE-27|CORE-30,BB14|BB16|BB22,C9|C-G2|C-G7,4|6|11,Whisper MMS and OpusLM show major capability gains,Weakly supervised foundation models shift bottlenecks toward validation correction and evaluation,Do not claim solved low-resource ASR,Frame foundation-era central tension
Model layer,Speech-language models,Models integrating speech encoders with language-model style generation or reasoning,RQ2,RQ6,B|F,CORE-25|CORE-30|CORE-60,BB12|BB22|BF20,C10|C-F7|C-G7,6|11|13,SpeechLM evidence is growing and hallucination evidence warns about generation risks,SpeechLMs are future-facing for ASR but require constrained evaluation,Many sources are emerging or not pure ASR,Use cautiously in Section 11
Model layer,Multimodal/speech-translation foundation models,Systems that combine speech text translation and sometimes ASR across modalities,RQ2,RQ6,B|F,CORE-23|CORE-24|CORE-28|CORE-57|CORE-59,BB10|BB11|BB17|BF16|BF18,C10|C-F6|C-G7,4|11|13,Speech-text and AVSR systems show expanding model scope,Multimodal foundation models support robustness agenda but ASR claims must stay bounded,Translation-centric systems are not standalone ASR evidence,Use for multimodal future agenda
Adaptation layer,Full fine-tuning,Updating all model parameters on target language or domain data,RQ4,RQ2|RQ6,B|D,CORE-16|CORE-22|CORE-26|CORE-43,BD04|BD05|BD06|BD23,C-D2|C-G4,8|12,Full fine-tuning remains common and effective in many settings,It can be expensive and susceptible to overfitting or forgetting,Comparisons often omit matched compute budgets,Use in adaptation decision matrix
Adaptation layer,Continued pretraining,Additional SSL or foundation-model pretraining on target or related speech before supervised adaptation,RQ4,RQ2|RQ3,D|B,CORE-41|CORE-29|CORE-30,BD21|BD10|BD11,C-D3|C-G4,8|12,Recent ASR studies test continued pretraining for target fit,Continued pretraining is useful when unlabeled target or related speech exists,Results depend on data similarity and budget,Explain conditional strategy choice
Adaptation layer,Adapter tuning,Adding or tuning small adapter modules for efficient domain or language adaptation,RQ4,RQ2|RQ6,D,CORE-37|CORE-42,BD01|BD22,C-D4|C-G4,8|12,Adapters have strong method anchors and emerging ASR-specific evidence,Adapters are promising for low-resource compute constraints but direct evidence is uneven,Do not overgeneralize NLP results to ASR,Use as PEFT example
Adaptation layer,LoRA/QLoRA,Low-rank or quantized parameter-efficient fine-tuning methods,RQ4,RQ2|RQ6,D,CORE-38|CORE-39,BD02|BD03|BD17|BD20,C-D4|C-G4,8|13,LoRA and QLoRA provide strong efficiency method anchors,They motivate ASR PEFT but require ASR-specific validation,Core evidence is method anchor more than ASR proof,Use cautiously in future agenda
Adaptation layer,Prompting/contextual biasing,Using prompts contexts or biasing information to guide ASR or speech-language models,RQ4,RQ6,D|F,CORE-30|CORE-60,BD18|BF23|BF24,C-D6|C-F7|C-G7,8|11|13,Local matrices treat prompting and contextual ASR as emerging,Prompting can help but introduces leakage over-correction and hallucination risks,Watchlist evidence cannot support strong central claims,Use only in emerging directions
Adaptation layer,Transfer learning,Using pretrained related-language or multilingual models for target-language ASR,RQ4,RQ2|RQ1,B|D,CORE-16|CORE-22|CORE-27|CORE-40,BD04|BD05|BD07|BD09,C-D1|C-G2|C-G4,4|8,Transfer is the core foundation-era adaptation mechanism,Effectiveness depends on language relatedness domain match and target data,Aggregate transfer results can hide poor target languages,Central Section 8 frame
Adaptation layer,Forgetting control,Preventing loss of existing multilingual capability while adding a new language or domain,RQ4,RQ6,D,CORE-43,BD23,C-D2|C-D5|C-G4,8|13,Recent ASR work directly addresses adding a language without forgetting,Forgetting control turns adaptation into a multi-objective problem,Evidence base is still small,Use in gap agenda
Supervision layer,Supervised learning,Training or adapting with human-verified paired speech and text,RQ1,RQ4,A|E,CORE-01|CORE-02|CORE-10,BA01|BA02|BA15,C-G1|C-G4,3|4|8,Supervised data remains necessary for calibration and evaluation,Foundation models reduce but do not remove need for verified supervision,Labeled datasets may be narrow or poorly documented,Anchor resource definition
Supervision layer,Self-supervised learning,Learning speech representations from unlabeled audio,RQ2,RQ4,B,CORE-08|CORE-15|CORE-17|CORE-21,BA11|BB02|BB04|BB08,C8|C-G2,4|6,SSL is a major technical shift in low-resource ASR,SSL changes pretraining assumptions but not final validation needs,Some model papers are not low-resource-specific,Explain model-era transition
Supervision layer,Self-training,Iterative training with model-generated labels,RQ5,RQ3|RQ4,E|C,CORE-44|CORE-45|CORE-47,BE03|BE04|BE06,C-E1|C-E2|C-G5,9|12,Self-training and noisy student evidence support supervision expansion,Self-training works only when label quality and domain match are controlled,Teacher error propagation remains a core risk,Build pseudo-labeling section
Supervision layer,Pseudo-label filtering,Selecting pseudo-labels by confidence uncertainty calibration or multi-stage filters,RQ5,RQ3|RQ6,E|C,CORE-46|CORE-51,BE05|BE12|BE15|BC17,C-E3|C-G5,9|13,Filtering evidence makes reliability central rather than optional,Filtering is the bridge between data-centric and supervision-centric strategy,Filtering rules are often not comparable,Use in reliability matrix
Supervision layer,Single-teacher KD,Using one teacher model to train or compress a student ASR model,RQ5,RQ4,E,CORE-48|CORE-50,BE08|BE14,C-E4|C-G5,9|12,KD can transfer knowledge and support compression,Single-teacher KD depends heavily on teacher errors and target mismatch,Need distinguish KD levels and objectives,Use in KD taxonomy
Supervision layer,Multi-teacher KD,Learning from multiple teachers or multilingual teacher ensembles,RQ5,RQ4|RQ6,E,CORE-49|CORE-51,BE13|BE15,C-E5|C-G5,9|13,Multi-teacher evidence suggests coverage benefits,Teacher disagreement becomes a selection and reliability problem,Disagreement reporting remains thin,Support future gap
Supervision layer,Agreement-based teacher selection,Selecting labels or teachers based on agreement disagreement or reliability estimates,RQ5,RQ6,E,CORE-49|CORE-51,BE13|BE15,C-E5|C-G5|C-G8,9|13,Local evidence flags teacher agreement as important but underdeveloped,Agreement selection should be a future reproducibility requirement,Direct evidence is limited and should be phrased as agenda,Use in future research agenda
Evaluation layer,WER/CER,Standard word or character error rate reporting,RQ6,RQ1|RQ3,F,CORE-11|CORE-53|CORE-54,BA16|BF05|BF08,C-F1|C-G6,3|10|12,WER and CER remain necessary metrics,They are insufficient without language-aware normalization and subgroup reporting,Do not reject standard metrics outright,Explain metric limits
Evaluation layer,Orthography-aware evaluation,Scoring that accounts for spelling variation formatting diacritics script and normalization,RQ6,RQ1|RQ3,F|C,CORE-07|CORE-35|CORE-53,BA10|BC08|BF05,C-C5|C-F1|C-G6,7|10,Lenient scoring and data-quality evidence show orthography affects comparability,Evaluation must document transcript normalization and scoring scripts,Language-specific rules may not generalize,Use in Sections 7 and 10
Evaluation layer,Dialect-wise evaluation,Reporting performance by dialect variety accent or speaker community,RQ6,RQ1,F|A,CORE-06|CORE-13|CORE-14|CORE-55|CORE-56,BA09|BA18|BA21|BF09|BF10,C3|C-F4|C-G6,3|10,Dialect and fairness evidence warn against pooled scores,Dialect-wise reporting is central for reliable low-resource ASR,Metadata can be incomplete or sensitive,Use in evaluation framework
Evaluation layer,Domain/channel-wise evaluation,Reporting performance by recording condition speech style channel or deployment domain,RQ6,RQ1|RQ3,A|C|F,CORE-09|CORE-10|CORE-36|CORE-54,BA13|BA15|BC12|BF08,C7|C-F3|C-G6,5|10,Challenge and robustness evidence show domain and channel mismatch matters,Domain-wise reporting links resources to deployment validity,Not all datasets include comparable domains,Use in benchmark critique
