Paper,Year,Venue,Category,Quality level,Reason,Used in section
Automatic speech recognition for under-resourced languages: A survey,2014,Speech Communication,Survey,seminal,Historical baseline for under-resourced ASR before SSL and foundation models,Introduction; What Makes ASR Low-Resource
End-to-End Speech Recognition: A Survey,2024,IEEE/ACM TASLP,Survey,high-impact,Recent field-level ASR architecture taxonomy,From Hybrid ASR to Foundation Speech Models
Recent Advances in Speech Language Models: A Survey,2025,arXiv / survey watchlist unless ACL source is added,Survey,useful,SpeechLM survey watchlist until venue source is settled,"Multimodal, Speech-LLM, and LLM-Assisted Low-Resource ASR"
Common Voice: A Massively-Multilingual Speech Corpus,2020,LREC 2020,DatasetAnchor,high-impact,Canonical public multilingual speech corpus,Resources and Benchmarks
"VoxPopuli: A Large-Scale Multilingual Speech Corpus for Representation Learning, Semi-Supervised Learning and Interpretation",2021,ACL-IJCNLP 2021 Long Papers,DatasetAnchor,high-impact,Large multilingual unlabeled and transcribed corpus for SSL and semi-supervised learning,Resources and Benchmarks
FLEURS: Few-shot Learning Evaluation of Universal Representations of Speech,2022,IEEE SLT 2022,BenchmarkAnchor,high-impact,Standardized multilingual few-shot benchmark across 102 languages,Resources and Benchmarks; Evaluation
ML-SUPERB: Multilingual Speech Universal PERformance Benchmark,2023,Interspeech 2023,BenchmarkAnchor,high-impact,Multilingual speech foundation model benchmark,Model-Centric Approaches; Evaluation
"ML-SUPERB 2.0: Benchmarking Multilingual Speech Models Across Modeling Constraints, Languages, and Datasets",2024,Interspeech 2024,BenchmarkAnchor,high-impact,Connects multilingual benchmarking with adaptation and modeling constraints,Adaptation Strategies; Evaluation
The ML-SUPERB 2.0 Challenge: Towards Inclusive ASR Benchmarking for All Language Varieties,2025,Interspeech 2025,BenchmarkAnchor,high-impact,"Inclusive ASR benchmarking for accents, dialects, and language varieties","Evaluation, Reproducibility, and Robustness"
Data Quality Issues in Multilingual Speech Datasets: The Need for Sociolinguistic Awareness and Proactive Language Planning,2025,arXiv / venue pending,BenchmarkAudit,useful,"Dataset quality audit is useful, but venue remains pending",Resources and Benchmarks; Evaluation
FormosanBench: Benchmarking Low-Resource Austronesian Languages in the Era of Large Language Models,2025,arXiv / reserve benchmark watchlist,BenchmarkWatchlist,useful,Reserve endangered-language benchmark watchlist item,Case Examples; Future Research Agenda
LoASR-Bench: Evaluating Large Speech Language Models on Low-Resource Automatic Speech Recognition Across Language Families,2026,arXiv,BenchmarkWatchlist,useful,Preprint watchlist for low-resource SpeechLM ASR evaluation,"Multimodal, Speech-LLM, and LLM-Assisted Low-Resource ASR; Future Research Agenda"
