GapID,GapArea,ProblemStatement,WhyItMatters,CurrentEvidence,SupportingCoreIDs,SupportingBlocks,RelevantRQs,TaxonomyLayers,NearTermResearchNeed,LongTermResearchNeed,EvaluationRequirement,RecommendedManuscriptSection,RiskIfIgnored
GAP-G1,Definition,Low-resource definition remains inconsistent across papers,Comparisons become weak when low-resource means different combinations of hours quality validation language and compute,Core surveys and benchmark papers support a multidimensional definition,CORE-01|CORE-04|CORE-06|CORE-09|CORE-10,A|F,RQ1,Resource layer|Language layer|Evaluation layer,State resource condition explicitly in each study,Develop shared reporting schema for low-resource ASR,Report labeled hours unlabeled data validation metadata and compute,3|12,The paper may repeat vague low-resource terminology
GAP-G2,Dataset documentation,Dataset size is often reported without enough quality validation metadata licensing or dialect information,Hours alone cannot show whether data supports reliable deployment,Common Voice VoxPopuli Lau et al and AfriSpeech evidence show quality and metadata matter,CORE-03|CORE-07|CORE-14|CORE-34,A|C,RQ1|RQ3,Resource layer|Language layer,Add documentation fields for source quality dialect consent license and validation,Adopt community-aware data statements or datasheets for speech corpora,Report validation protocol metadata coverage and access conditions,5|7|13,Benchmarks may look comparable while hiding data risk
GAP-G3,Orthographic normalization,Orthographic normalization and transcript comparability remain underreported,Text conventions can change WER CER and cross-study comparability,Data-quality punctuation and lenient-evaluation evidence support the problem,CORE-07|CORE-35|CORE-53,C|F,RQ1|RQ3|RQ6,Language layer|Evaluation layer,Publish normalization and scoring scripts with benchmark reports,Develop language-aware scoring guidance for scripts and morphology,Report raw and normalized scoring when feasible,7|10|13,Reported gains may reflect formatting rather than recognition
GAP-G4,Aggregate foundation-model reporting,Foundation-model results are often reported as aggregate scores hiding per-language dialect and domain failures,Average scores can hide the communities that low-resource ASR is meant to serve,ML-SUPERB XTREME-S IndicSUPERB AfriSpeech and fairness evidence support subgroup reporting,CORE-04|CORE-05|CORE-06|CORE-12|CORE-13|CORE-14|CORE-55|CORE-56,F|A,RQ2|RQ6,Model layer|Evaluation layer,Require per-language and per-domain result tables,Build dialect and domain benchmark suites with metadata,Report macro averages and subgroup distributions not only pooled means,10|12|13,Foundation-model claims may overstate reliability
GAP-G5,Adaptation comparability,Adaptation comparisons are not standardized across compute budgets data volumes and forgetting constraints,Readers cannot tell whether gains come from method choice data scale or compute,Block D adaptation evidence supports conditional comparison,CORE-37|CORE-38|CORE-39|CORE-41|CORE-42|CORE-43,D,RQ4,Adaptation layer|Evaluation layer,Report adaptation data volume trainable parameters compute and forgetting tests,Create matched adaptation leaderboards for low-resource ASR,Use fixed-budget and variable-budget evaluation protocols,8|12,The review may imply one best adaptation method
GAP-G6,PEFT evidence,Parameter-efficient methods are promising but direct ASR evidence is uneven compared with NLP evidence,PEFT may be overpromoted without ASR-specific validation,Adapters LoRA and QLoRA are strong method anchors but not all are ASR evidence,CORE-37|CORE-38|CORE-39|CORE-42|CORE-43,D,RQ4,Adaptation layer,Separate method anchors from ASR-specific evidence in prose,Develop direct PEFT comparisons on multilingual ASR benchmarks,Report trainable parameters memory latency and ASR quality,8|13,NLP evidence may be incorrectly transferred to ASR
GAP-G7,Pseudo-label reliability,Pseudo-labeling can scale supervision but teacher errors and low-confidence labels remain a major reliability bottleneck,Noisy labels can amplify bias and domain mismatch,Self-training noisy student DUST and low-resource pseudo-labeling support the claim,CORE-44|CORE-45|CORE-46|CORE-47|CORE-51,E|C,RQ5,Supervision layer|Resource layer,Report teacher confidence calibration and filtering thresholds,Develop pseudo-label quality benchmarks for low-resource speech,Evaluate pseudo-label quality by language domain and confidence bin,9|13,Pseudo-labels may be treated as clean supervision
GAP-G8,Multi-teacher disagreement,Multi-teacher KD needs better disagreement analysis and reproducible selection rules,Teacher ensembles can improve coverage but disagreement can signal risk,Self-adaptive distillation MUST and large-scale pseudo-label evidence support this gap,CORE-48|CORE-49|CORE-51,E,RQ5,Supervision layer|Evaluation layer,Report teacher agreement metrics and selection rules,Develop reproducible multi-teacher selection protocols,Compare agreement-based filtering against single-teacher baselines,9|13,KD claims may hide error propagation
GAP-G9,LLM evaluation metrics,WER/CER alone is insufficient for hallucination over-correction and contextual ASR evaluation,LLM-assisted ASR can rewrite semantically or hallucinate while improving surface metrics,Careless Whisper and Block F watchlist sources support caution,CORE-60,F,RQ6,Evaluation layer|Model layer,Use constrained N-best or lattice correction protocols and semantic checks,Build accepted benchmarks for hallucination and correction drift in ASR,Report hallucination over-correction semantic drift and source-grounding metrics,11|13,LLM correction may be mistaken for reliable ASR improvement
GAP-G10,Low-resource AVSR,Low-resource AVSR lacks multilingual or multidialect resources and comparable protocols,AVSR may help noisy speech but current resources are narrow,AV-HuBERT robust AVSR and MuAViC support promise and limits,CORE-57|CORE-58|CORE-59,F,RQ6,Resource layer|Model layer|Evaluation layer,Document language and modality coverage in AVSR datasets,Create multilingual and dialect-aware AVSR benchmarks,Report audio-only visual-only and audio-visual results under noise,11|13,Multimodal claims may be overgeneralized from narrow settings
