"candidate_id","year","title","authors_or_team","venue_or_source","source_url_or_identifier","source_type","verification_status","theme","rq_alignment","target_section","likely_use","add_to_bibtex_priority","risk_or_limitation","notes"
"REC-001","2025","The ML-SUPERB 2.0 Challenge: Towards Inclusive ASR Benchmarking for All Language Varieties","Chen et al.","Interspeech 2025","https://doi.org/10.21437/Interspeech.2025-1013","Conference paper","Verified-primary-source","ML-SUPERB 2.0 and inclusive benchmarking","RQ6","Sections 5; 10; 13","Benchmark and dialect-variety evaluation anchor","P1","Challenge coverage does not substitute for deployment evaluation.","Already present in BibTeX; use as a recency anchor rather than a new entry."
"REC-002","2025","Data Quality Issues in Multilingual Speech Datasets: The Need for Sociolinguistic Awareness and Proactive Language Planning","Lau et al.","ACL 2025","https://doi.org/10.18653/v1/2025.acl-long.370","Conference paper","Verified-primary-source","Dataset quality and multilingual benchmarking","RQ1; RQ3; RQ6","Sections 3; 5; 10","Recent dataset-quality and sociolinguistic audit anchor","P1","Audit covers selected public datasets rather than the full ecosystem.","Already present in BibTeX; central for current data-quality claims."
"REC-003","2025","OWSM v4: Improving Open Whisper-Style Speech Models via Data Scaling and Cleaning","Yifan Peng et al.","Interspeech 2025","https://www.isca-archive.org/interspeech_2025/peng25c_interspeech.html","Conference paper","Verified-primary-source","OWSM v4 and open Whisper-style models","RQ2; RQ3","Sections 4; 7","Open-model scaling, cleaning, and reproducibility evidence","P1","Open training does not guarantee long-tail language reliability.","Strong candidate for BibTeX and the foundation-model matrix."
"REC-004","2025","AfriHuBERT: A Self-Supervised Speech Representation Model for African Languages","Jesujoba O. Alabi et al.","Interspeech 2025","https://www.isca-archive.org/interspeech_2025/alabi25_interspeech.html","Conference paper","Verified-primary-source","Regional multilingual SSL and African languages","RQ2; RQ4","Sections 4; 8","Region-centric continued-pretraining evidence","P1","Regional benchmark gains should not be generalized globally.","Repository status should be normalized to the official ISCA page."
"REC-005","2025","Evaluating Speech Foundation Models for Automatic Speech Recognition in the Low-Resource Kanyen'keha Language","Mengzhe Geng et al.","Interspeech 2025","https://www.isca-archive.org/interspeech_2025/geng25c_interspeech.html","Conference paper","Verified-primary-source","Low-resource foundation-model case study","RQ2; RQ4","Sections 4; 8","Indigenous-language adaptation and evaluation case","P1","Single-language case cannot support universal claims.","Already present in BibTeX and Core 60."
"REC-006","2025","OpusLM: A Family of Open Unified Speech Language Models","Jinchuan Tian et al.","Interspeech 2025","https://www.isca-archive.org/interspeech_2025/tian25b_interspeech.html","Conference paper","Verified-primary-source","Low-resource SpeechLM and open speech-language models","RQ2; RQ4","Sections 4; 8; 11","Open SpeechLM model and training anchor","P1","Speech-language task breadth should not be conflated with low-resource ASR reliability.","Already present in BibTeX and Core 60."
"REC-007","2025","Speechless: Speech Instruction Training Without Speech for Low Resource Languages","Alan Dao et al.","Interspeech 2025","https://www.isca-archive.org/interspeech_2025/dao25_interspeech.html","Conference paper","Verified-primary-source","Low-resource SpeechLM adaptation","RQ2; RQ4","Sections 8; 11","Scarce-speech instruction-training evidence","P1","Not a broad multilingual ASR benchmark.","Verify task outputs before using for direct ASR claims."
"REC-008","2025","Speech LLMs in Low-Resource Scenarios: Data Volume Requirements and the Impact of Pretraining on High-Resource Languages","Seraphina Fong; Marco Matassoni; Alessio Brutti","Interspeech 2025","https://www.isca-archive.org/interspeech_2025/fong25_interspeech.html","Conference paper","Verified-primary-source","Low-resource SpeechLM evaluation","RQ2; RQ6","Sections 11; 13","Bounded evidence on data needs and high-resource transfer","P1","Experimental conditions may not represent all model families or languages.","Directly aligned with the review's caution about high-resource priors."
"REC-009","2025","Enhancing Low-Resource Language and Instruction Following Capabilities of Audio Language Models","Potsawee Manakul et al.","Interspeech 2025","https://www.isca-archive.org/interspeech_2025/manakul25_interspeech.html","Conference paper","Verified-primary-source","Low-resource audio-language models","RQ2; RQ4; RQ6","Sections 8; 11","Audio-language-model adaptation evidence","P2","Instruction following is broader than transcription.","Use only after separating ASR evidence from general audio-language tasks."
"REC-010","2025","Better Pseudo-labeling with Multi-ASR Fusion and Error Correction by SpeechLLM","Jeena Prakash et al.","Interspeech 2025","https://www.isca-archive.org/interspeech_2025/prakash25_interspeech.html","Conference paper","Verified-primary-source","Pseudo-labeling and SpeechLLM correction","RQ5; RQ6","Sections 9; 11","Current pseudo-label fusion and correction evidence","P1","Correction may introduce fluent unsupported content or shared-model bias.","High-priority reliability candidate."
