PaperID,StrategyFamily,Paper,Year,Venue,ModelFamily,AdaptationType,DataCondition,LanguagesOrDatasets,TrainableParametersOrCompute,Strength,Limitation,BestUseCase,VerificationStatus,UseLevel
BD01,Adapter tuning,Parameter-Efficient Transfer Learning for NLP,2019,ICML / PMLR 2019,Transformer NLP models,Adapters,General transfer-learning tasks,General transfer-learning tasks,Small task-specific adapter modules,General NLP method anchor; ASR use is conceptual.,Method anchor only; not direct ASR evidence.,Method anchor only; not direct ASR evidence. Cite to define PEFT mechanisms. Do not use as direct evidence that PEFT improves low-resource ASR.,Verified-primary-source,Core-citable
BD02,LoRA,LoRA: Low-Rank Adaptation of Large Language Models,2022,ICLR / OpenReview 2022,Transformer language models,Low-rank adaptation,General LLM adaptation,General LLM adaptation,Low-rank trainable matrices,LoRA reduces trainable parameters by injecting low-rank matrices.,Method anchor only; not direct ASR evidence.,Method anchor only; not direct ASR evidence. Cite to define PEFT mechanisms. Do not use as direct evidence that PEFT improves low-resource ASR.,Verified-primary-source,Core-citable
BD03,QLoRA,QLoRA: Efficient Finetuning of Quantized LLMs,2023,NeurIPS / OpenReview 2023,Quantized LLMs,Quantized LoRA fine-tuning,Memory-constrained large-model adaptation,Memory-constrained large-model adaptation,4-bit quantization plus LoRA,QLoRA enables memory-efficient quantized fine-tuning.,Method anchor only; not direct ASR evidence.,Method anchor only; not direct ASR evidence. Cite to define PEFT mechanisms. Do not use as direct evidence that PEFT improves low-resource ASR.,Verified-primary-source,Core-citable
BD04,Cross-lingual transfer,Unsupervised Cross-lingual Representation Learning for Speech Recognition,2021,Interspeech 2021,XLSR-53,Fine-tuning multilingual SSL representations,Common Voice; BABEL; multilingual ASR,Common Voice; BABEL; multilingual ASR,Full fine-tuning of pretrained representations,Cross-lingual SSL fine-tuning improves multilingual low-resource ASR.,Gains depend on target-language coverage and fine-tuning data.,Cross-lingual transfer section.,Verified-primary-source,Core-citable
BD05,Cross-lingual transfer,XLS-R: Self-supervised Cross-lingual Speech Representation Learning at Scale,2022,Interspeech 2022,XLS-R,Fine-tuning large multilingual SSL models,128 languages; 436k hours public speech,128 languages; 436k hours public speech,Full fine-tuning and downstream adaptation,Scaling multilingual SSL improves transfer but does not remove language gaps.,Benchmark sensitivity and language imbalance remain.,Scaled multilingual transfer section.,Verified-primary-source,Core-citable
BD06,Full fine-tuning,Robust Speech Recognition via Large-Scale Weak Supervision,2023,ICML / PMLR 2023,Whisper,"Zero-shot, prompting, and fine-tuning baseline",680k hours weakly supervised multilingual audio,680k hours weakly supervised multilingual audio,Model-size dependent; fine-tuning optional,Whisper resets the foundation ASR baseline through weak supervision.,Zero-shot strength does not replace low-resource adaptation analysis.,Foundation ASR baseline and adaptation comparison.,Verified-primary-source,Core-citable
BD07,Cross-lingual transfer,"Scaling Speech Technology to 1,000+ Languages",2024,JMLR 2024,MMS,Multilingual ASR adaptation and expansion,"1,000+ languages; MMS speech technology","1,000+ languages; MMS speech technology",Full fine-tuning / language-specific adaptation,MMS expands multilingual ASR coverage to many languages.,Coverage does not imply equal performance across all languages.,Massively multilingual adaptation section.,Verified-primary-source,Core-citable
BD08,Benchmark-mediated adaptation evaluation,ML-SUPERB: Multilingual Speech Universal PERformance Benchmark,2023,Interspeech 2023,SSL speech encoders,Frozen feature and shallow downstream adaptation evaluation,143-language ASR and LID benchmark,143-language ASR and LID benchmark,Shallow downstream adaptation,ML-SUPERB evaluates frozen and shallow downstream adaptation across languages.,Benchmark setup constrains conclusions.,"Use to discuss how frozen SSL features and downstream heads are compared across languages, not as an adaptation algorithm.",Verified-primary-source,Core-citable
BD09,Related-language transfer,Language-Universal Phonetic Representation in Multilingual Speech Pretraining for Low-Resource Speech Recognition,2023,Interspeech 2023,HuBERT-style multilingual pretraining,IPA-derived pseudo labels and fine-tuning,Low-resource speech recognition settings,Low-resource speech recognition settings,Pretraining plus limited/full fine-tuning,Phonetic-informed pretraining can improve limited-resource adaptation.,Requires careful separation from generic multilingual scaling.,Related-language and phonetic-informed transfer section.,Verified-primary-source,Core-citable
BD10,Low-resource case evaluation,Evaluating Speech Foundation Models for Automatic Speech Recognition in the Low-Resource Kanyen'keha Language,2025,Interspeech 2025,Speech foundation models,"Cross-lingual transfer, synthesized data, and LM fusion",Kanyen'keha low-resource ASR,Kanyen'keha low-resource ASR,Fine-tuning and external LM options,Direct low-resource SFM evaluation shows adaptation choices still matter.,Single-language case cannot generalize alone.,Low-resource case-evaluation box.,Verified-primary-source,High-value-citable
