ItemID,ItemType,ProposedTitle,ManuscriptSection,Purpose,SourceMatrices,CoreEvidenceIDs,KeyColumnsOrAxes,ExpectedInsight,Complexity,Priority
FIG-G1,Figure,Foundation-model-era low-resource ASR bottleneck stack,1|3|12,Show how bottlenecks move from labels to data quality adaptation supervision and evaluation,block_g_core_claim_synthesis_map.csv|block_g_research_gap_agenda_matrix.csv,CORE-01|CORE-15|CORE-22|CORE-26|CORE-27|CORE-60,Layers from resources to deployment,Foundation models shift rather than eliminate bottlenecks,Medium,High
FIG-G2,Figure,Six-layer taxonomy of low-resource ASR,6|12,Visualize resource language model adaptation supervision and evaluation layers,block_g_cross_block_taxonomy_synthesis_matrix.csv,CORE-01|CORE-08|CORE-11|CORE-22|CORE-44|CORE-52,Taxonomy layer by RQ and evidence block,The review is organized around interacting layers not method lists,Medium,High
FIG-G3,Figure,Evidence flow from resources to adaptation to evaluation,4|8|10|12,Show how corpus quality and model choice affect adaptation and evaluation claims,block_g_cross_block_taxonomy_synthesis_matrix.csv|block_g_section_to_evidence_map.csv,CORE-03|CORE-07|CORE-26|CORE-41|CORE-46|CORE-53,Resource inputs adaptation decisions evaluation outputs,Progress claims depend on full evidence chain,High,Medium
FIG-G4,Figure,Future agenda map for reliable low-resource ASR,13,Map research gaps to near-term and long-term agenda items,block_g_research_gap_agenda_matrix.csv|block_g_additional_resource_candidates.csv,CORE-03|CORE-07|CORE-11|CORE-14|CORE-43|CORE-60,Gap area by research horizon and evaluation requirement,Future work is grounded in demonstrated gaps,Medium,High
TABLE-G1,Table,Low-resource ASR challenge taxonomy,3|6,Define low-resource dimensions and link them to RQs,block_g_cross_block_taxonomy_synthesis_matrix.csv,CORE-01|CORE-03|CORE-07|CORE-09|CORE-10|CORE-53,Taxonomy layer subdimension risk writing use,Low-resource means multidimensional reliability constraints,Low,High
TABLE-G2,Table,Dataset and benchmark comparison table,5,Compare corpora and benchmarks by coverage metadata quality and evaluation use,dataset_benchmark_matrix.csv|core_60_reference_set.csv,CORE-03|CORE-04|CORE-05|CORE-06|CORE-07|CORE-12|CORE-13|CORE-14|CORE-33|CORE-34|CORE-52,Languages domain metadata transcript quality access limitations,Dataset quantity is not equivalent to benchmark validity,Medium,High
TABLE-G3,Table,Foundation model comparison table,4|6,Compare SSL multilingual weakly supervised SpeechLM and multimodal foundation systems,foundation_model_matrix.csv|core_60_reference_set.csv,CORE-15|CORE-16|CORE-17|CORE-18|CORE-21|CORE-22|CORE-26|CORE-27|CORE-28|CORE-30,Training type languages data scale ASR capability low-resource limits,Model families differ by data assumptions and validation risks,Medium,High
TABLE-G4,Table,Data-centric strategy comparison table,7,Compare augmentation filtering normalization validation and source heterogeneity strategies,data_centric_strategy_matrix.csv,CORE-31|CORE-32|CORE-33|CORE-34|CORE-35|CORE-36,Strategy data condition quality control evaluation use limitation,Data-centric work remains central after foundation models,Low,High
TABLE-G5,Table,Adaptation strategy decision matrix,8,Help readers choose adaptation strategies conditionally,adaptation_strategy_matrix.csv|block_g_research_gap_agenda_matrix.csv,CORE-37|CORE-38|CORE-39|CORE-40|CORE-41|CORE-42|CORE-43,Strategy data requirement compute forgetting risk best use case,No adaptation method is universally best,Medium,High
TABLE-G6,Table,Pseudo-labeling and KD reliability matrix,9,Compare supervision expansion methods by teacher and filtering reliability,pseudo_labeling_kd_matrix.csv,CORE-44|CORE-45|CORE-46|CORE-47|CORE-48|CORE-49|CORE-50|CORE-51,Teacher type filtering method supervision type limitation,Supervision expansion depends on reliability controls,Medium,High
TABLE-G7,Table,Evaluation and robustness gap matrix,10|12,Critique pooled WER/CER and summarize robustness fairness reproducibility gaps,evaluation_robustness_matrix.csv|block_g_research_gap_agenda_matrix.csv,CORE-04|CORE-05|CORE-06|CORE-11|CORE-12|CORE-13|CORE-14|CORE-52|CORE-53|CORE-54|CORE-55|CORE-56|CORE-60,Metric robustness axis fairness axis reproducibility axis gap,Evaluation must expose hidden failure modes,Medium,High
TABLE-G8,Table,LLM-assisted ASR opportunities and risks,11,Separate promising uses from risks and evidence limits,evaluation_robustness_matrix.csv|priority_watchlist_for_llm_and_emerging_directions.csv|block_g_additional_resource_candidates.csv,CORE-30|CORE-60,Use case evidence status risk required evaluation,LLM assistance requires constrained evaluation and caution,Low,Medium
TABLE-G9,Table,Future research agenda with near-term and long-term priorities,13,Convert gaps into actionable research agenda,block_g_research_gap_agenda_matrix.csv,CORE-03|CORE-07|CORE-11|CORE-14|CORE-37|CORE-43|CORE-51|CORE-57|CORE-58|CORE-59|CORE-60,Gap near-term need long-term need evaluation requirement risk,The agenda is traceable to evidence rather than speculative,Medium,High
