SectionNumber,SectionTitle,PrimaryRQ,SecondaryRQs,MainArgument,RelevantTaxonomyLayers,RelevantClaimIDs,PrimaryMatrices,CoreEvidenceIDs,WatchlistAllowed,TablesFiguresNeeded,WritingRisk,QualityCheck
1,Introduction,Main,RQ1|RQ2|RQ3|RQ4|RQ5|RQ6,Foundation models changed the starting point but reliable low-resource ASR still depends on resources adaptation supervision evaluation and robustness,All layers,C-G1|C-G2|C-G8,evidence_to_claim_matrix.csv|block_g_core_claim_synthesis_map.csv,CORE-01|CORE-15|CORE-22|CORE-26|CORE-27|CORE-60,Limited only for emerging directions,FIG-G1|FIG-G2,Overclaiming foundation-model failure or drifting toward Pashto,States field-level argument and four contributions
2,Review Methodology and Search Protocol,Method,RQ1|RQ2|RQ3|RQ4|RQ5|RQ6,The review uses systematic mapping plus critical taxonomy because evidence spans resources models adaptation supervision and evaluation,All layers,C-G8,search_log.csv|citation_verification_log.csv|seed_paper_map.csv|core_60_reference_set.csv,CORE-01|CORE-08|CORE-11,None except methods transparency,Search protocol table,Method may appear informal if logs are not traceable,Explains screening extraction and verification workflow
3,What Makes ASR Low-Resource?,RQ1,RQ3|RQ6,Low-resource ASR is a multidimensional reliability condition beyond labeled hours,Resource layer|Language layer|Evaluation layer,C-G1|C-G6,dataset_benchmark_matrix.csv|data_centric_strategy_matrix.csv|evaluation_robustness_matrix.csv|block_g_cross_block_taxonomy_synthesis_matrix.csv,CORE-01|CORE-03|CORE-04|CORE-06|CORE-07|CORE-09|CORE-10|CORE-13|CORE-14|CORE-52|CORE-53,No watchlist for central claims,TABLE-G1|FIG-G1,Generic background without method and evaluation implications,Directly answers RQ1 and keeps Pashto illustrative
4,From Hybrid ASR to Foundation Speech Models,RQ2,RQ4|RQ6,ASR model families represent changing assumptions about labels transfer language coverage and adaptation,Model layer|Resource layer|Adaptation layer,C-G2,foundation_model_matrix.csv|block_g_cross_block_taxonomy_synthesis_matrix.csv,CORE-01|CORE-02|CORE-08|CORE-15|CORE-16|CORE-17|CORE-21|CORE-22|CORE-26|CORE-27|CORE-28|CORE-30,Watchlist only for SpeechLM frontier context,TABLE-G3|FIG-G3,Becoming a historical list instead of comparative synthesis,Compares model families by assumptions and low-resource limits
5,Resources and Benchmarks,RQ3,RQ1|RQ6,Dataset availability alone is insufficient because quality metadata dialect coverage access and normalization shape evidence,Resource layer|Language layer|Evaluation layer,C-G1|C-G3|C-G6,dataset_benchmark_matrix.csv|data_centric_strategy_matrix.csv|core_60_reference_set.csv,CORE-03|CORE-04|CORE-05|CORE-06|CORE-07|CORE-12|CORE-13|CORE-14|CORE-33|CORE-34|CORE-52,No watchlist for main comparison,TABLE-G2|TABLE-G1,Listing datasets without critique,Connects resources to RQ1 RQ3 and RQ6
6,Foundation-Model-Era Taxonomy,RQ2,RQ1|RQ4|RQ6,The field should be organized by resource language model adaptation supervision and evaluation layers rather than methods alone,All layers,C-G1|C-G2|C-G4|C-G5|C-G6,block_g_cross_block_taxonomy_synthesis_matrix.csv|foundation_model_matrix.csv|method_comparison_matrix.csv,CORE-08|CORE-15|CORE-16|CORE-22|CORE-26|CORE-27|CORE-28|CORE-30,Watchlist only to mark frontier categories,FIG-G2|TABLE-G1,Repeating Sections 3 and 4 instead of abstracting taxonomy,Each taxonomy layer maps to RQs and evidence
7,Data-Centric Strategies,RQ3,RQ1|RQ5|RQ6,Data-centric work remains central because filtering normalization metadata validation and source heterogeneity shape model behavior,Resource layer|Language layer|Supervision layer|Evaluation layer,C-G3|C-G5,data_centric_strategy_matrix.csv|dataset_benchmark_matrix.csv|evidence_to_claim_matrix.csv,CORE-03|CORE-07|CORE-31|CORE-32|CORE-33|CORE-34|CORE-35|CORE-36|CORE-46,No watchlist for central claims,TABLE-G4,Reducing data work to preprocessing,Directly answers RQ3 with quality controls
8,Adaptation Strategies,RQ4,RQ2|RQ6,No adaptation strategy is universally best because effectiveness depends on data domain language relatedness compute and forgetting,Adaptation layer|Model layer|Evaluation layer,C-G4,adaptation_strategy_matrix.csv|foundation_model_matrix.csv|block_g_research_gap_agenda_matrix.csv,CORE-16|CORE-22|CORE-26|CORE-37|CORE-38|CORE-39|CORE-40|CORE-41|CORE-42|CORE-43,Watchlist only for emerging PEFT and prompting,TABLE-G5,Recommending methods without conditions,States when each adaptation strategy is appropriate
9,Pseudo-Labeling and Knowledge Distillation,RQ5,RQ3|RQ4|RQ6,Pseudo-labeling and KD expand supervision but their value depends on teacher quality filtering and disagreement handling,Supervision layer|Resource layer|Evaluation layer,C-G5,pseudo_labeling_kd_matrix.csv|data_centric_strategy_matrix.csv|evidence_to_claim_matrix.csv,CORE-44|CORE-45|CORE-46|CORE-47|CORE-48|CORE-49|CORE-50|CORE-51,Watchlist only for LLM or SpeechLM refinement,TABLE-G6,Treating pseudo-labels as clean labels,Distinguishes supervision gains from error propagation
10,"Evaluation, Reproducibility, and Robustness",RQ6,RQ1|RQ3|RQ4,Progress cannot be judged by pooled WER/CER alone because language domain fairness robustness compute and reproducibility matter,Evaluation layer|Language layer|Adaptation layer,C-G6|C-G8,evaluation_robustness_matrix.csv|block_g_research_gap_agenda_matrix.csv|evidence_to_claim_matrix.csv,CORE-04|CORE-05|CORE-06|CORE-11|CORE-12|CORE-13|CORE-14|CORE-52|CORE-53|CORE-54|CORE-55|CORE-56|CORE-60,Watchlist allowed only for hallucination and contextual ASR risks,TABLE-G7|FIG-G3,Describing metrics without showing hidden failures,Directly supports RQ6 with subgroup and protocol requirements
