CandidateID,Title,AuthorsOrTeam,Year,VenueOrSource,DOIOrURL,CandidateRole,RelevantGapIDs,RelevantRQs,ProposedUse,VerificationStatus,AddToSeedMap,AddToCore60,Notes
BG-CAND-01,Datasheets for Datasets,Gebru et al.,2021,Communications of the ACM,https://doi.org/10.1145/3458723,Methodological support for dataset documentation transparency and benchmark quality,GAP-G2|GAP-G12,RQ3|RQ6,Use in future agenda and reporting recommendations not as ASR evidence,Verified-primary-source,No-new supporting only,No,Official ACM DOI verified; BibTeX key gebru2021_datasheets_for_datasets; do not mark as ASR evidence
BG-CAND-02,Data Statements for Natural Language Processing,Bender and Friedman,2018,Transactions of the Association for Computational Linguistics,https://doi.org/10.1162/tacl_a_00041,Methodological support for language resource documentation and sociolinguistic metadata,GAP-G2|GAP-G4,RQ1|RQ3|RQ6,Use for language dialect and data-reporting agenda not as ASR evidence,Verified-primary-source,No-new supporting only,No,Official TACL DOI verified; BibTeX key bender2018_data_statements; use as documentation framework
BG-CAND-03,Model Cards for Model Reporting,Mitchell et al.,2019,ACM FAT* 2019,https://doi.org/10.1145/3287560.3287596,Methodological support for model documentation intended use and demographic reporting,GAP-G4|GAP-G12,RQ6,Use in reproducibility and deployment-risk agenda not as ASR evidence,Verified-primary-source,No-new supporting only,No,Official ACM DOI verified; BibTeX key mitchell2019_model_cards; model reporting support only
BG-CAND-04,Energy and Policy Considerations for Deep Learning in NLP,Strubell et al.,2019,ACL 2019,https://doi.org/10.18653/v1/P19-1355,Supporting evidence for compute and deployment-cost reporting,GAP-G5|GAP-G12,RQ4|RQ6,Use for compute-efficiency and reproducibility agenda not as ASR evidence,Verified-primary-source,No-new supporting only,No,Official ACL Anthology DOI verified; BibTeX key strubell2019_energy_policy; compute-reporting support
BG-CAND-05,ASR Error Correction using Large Language Models,Ma et al.,2024,arXiv 2409.09554,https://arxiv.org/abs/2409.09554,Emerging LLM-assisted ASR correction and rescoring,GAP-G9|GAP-G11,RQ6,Future directions only for constrained N-best and lattice correction,Watchlist-ArXiv,No-existing BF24,No,Already present as BF24; do not duplicate
BG-CAND-06,Hallucination Benchmark for Speech Foundation Models,Koudounas et al.,2025,arXiv,https://arxiv.org/abs/2510.16567,Emerging ASR hallucination evaluation,GAP-G9|GAP-G11,RQ6,Future directions only and never sole support for strong claims,Watchlist-ArXiv,No-existing BF22,No,Already present as BF22 with SHALLOW label; do not duplicate
BG-CAND-07,ContextASR-Bench: A Massive Contextual Speech Recognition Benchmark,Wang et al.,2025,arXiv,https://arxiv.org/abs/2507.05727,Emerging contextual and named-entity ASR evaluation,GAP-G9|GAP-G11,RQ6,Future directions only for contextual ASR evaluation,Watchlist-ArXiv,No-existing BF23,No,Already present as BF23; do not duplicate
BG-CAND-08,LoASR-Bench: Evaluating Large Speech Language Models on Low-Resource Automatic Speech Recognition Across Language Families,Chen et al.,2026,arXiv 2026,https://doi.org/10.48550/arXiv.2603.20042,Emerging low-resource SpeechLM evaluation benchmark,GAP-G4|GAP-G9,RQ2|RQ6,Future directions only for SpeechLM low-resource evaluation,Watchlist-ArXiv,No-existing BA24|BB25|BF04,No,Already present as BA24 BB25 and BF04; do not duplicate
BG-CAND-09,Careless Whisper: Speech-to-Text Hallucination Harms,Koenecke et al.,2024,arXiv / ACM DOI indicated,https://arxiv.org/abs/2402.08021,Hallucination and harm evidence for ASR evaluation,GAP-G9|GAP-G11,RQ6,Use as high-value hallucination-risk support with cautious wording,Verified-secondary-source; ACM DOI indicated,No-existing BF20,No,Already present as BF20 and CORE-60; do not duplicate
BG-CAND-10,Joint speech and text machine translation for up to 100 languages,Seamless Communication et al.,2025,Nature,https://doi.org/10.1038/s41586-024-08359-z,Multimodal speech-text foundation model evidence,GAP-G10|GAP-G12,RQ2|RQ6,Use as multimodal speech-text foundation anchor with ASR claims bounded,Verified-primary-source,No-existing BB17|CORE-28,No,Already present as BB17 and CORE-28; do not duplicate
