GapID,GapArea,ObservedProblem,WhyItMatters,CurrentEvidenceType,AffectedMethods,PossibleReviewAngle,FutureResearchDirection,Priority
G1,Definition of low-resource ASR,Low-resource status is often reduced to labeled hours,This hides dialect domain script validation and compute constraints,Conceptual and empirical literature,All methods,Redefine low-resource ASR as multidimensional,Develop standardized low-resource descriptors beyond hours,High
G2,Data quality and validation,Large public corpora may contain uneven validation demographic skew or transcript inconsistency,Model scaling cannot compensate for unreliable supervision,Dataset and benchmark studies,Foundation models pseudo-labeling fine-tuning,Data-centric low-resource ASR taxonomy,Build auditable data-quality protocols,High
G3,Orthographic normalization,Normalization rules are often underreported,WER/CER becomes incomparable across scripts and systems,ASR experiments in diverse scripts,CTC E2E pseudo-labeling evaluation,Normalization as scientific variable,Publish normalization protocols and evaluation variants,High
G4,Dialect and language variety evaluation,Many studies report only pooled WER/CER,Pooled metrics hide weak performance on underrepresented dialects,Benchmark and fairness literature,All ASR systems,Dialect-aware evaluation gap,Require dialect/domain breakdowns where metadata exists,High
G5,Foundation-model mismatch,Large multilingual models do not transfer uniformly across languages and domains,Zero-shot or few-shot gains may be unstable,Model evaluation studies,Whisper XLS-R MMS OMNIASR,Foundation models are starting points not solutions,Analyze language coverage domain mismatch and adaptation needs,High
G6,Adaptation strategy selection,Fine-tuning continued pretraining PEFT and prompting are often compared inconsistently,Practitioners lack guidance on what to use under resource constraints,Empirical adaptation studies,Foundation ASR speech LLMs,Adaptation taxonomy,Compare strategies by data compute and robustness,High
G7,Pseudo-label reliability,Teacher-generated transcripts can contain systematic errors,Pseudo-label noise can reinforce model bias and dialect errors,Pseudo-labeling and KD literature,Self-training KD MT-KD,Teacher reliability taxonomy,Develop confidence agreement and uncertainty-aware selection,High
G8,Multi-teacher disagreement,Uniform pooling of teacher outputs may introduce contradictory supervision,Heterogeneous foundation models fail differently,Emerging KD studies,Multi-teacher KD,Conflict resolution in teacher-student ASR,Move from utterance-level to token-level teacher arbitration,Medium-High
G9,Compute and deployment reporting,Many papers omit training cost inference cost or hardware details,Low-resource communities may lack large GPU resources,Reproducibility literature,Foundation models PEFT KD,Compute-aware review dimension,Report trainable parameters energy latency and hardware,Medium-High
G10,LLM-assisted ASR reliability,LLM correction and rescoring may improve readability but introduce hallucinations,WER gains may hide semantic or factual distortions,Emerging speech-LLM literature,LLM correction rescoring speech-language models,LLM reliability and safeguards,Develop hallucination-aware ASR evaluation,Medium-High
G11,Low-resource AVSR data scarcity,AVSR resources are concentrated in high-resource languages,Visual modality cannot help if data pipelines are weak,AVSR literature,AVSR VSR multimodal foundation models,Multimodal robustness gap,Create reproducible low-resource AVSR pipelines and benchmarks,Medium
G12,Reproducibility and comparability,Differences in preprocessing LM use decoding and normalization are often underreported,Results become difficult to compare across studies,Survey and benchmark analysis,All methods,Reproducibility checklist for low-resource ASR,Standardize reporting templates,High
