Date,Database,Query,Filters,ResultsFound,PapersScreened,PapersIncluded,Notes
2026-06-09,Block A deep research report,"Curated seed set: surveys, multilingual corpora, multilingual benchmarks, inclusive ASR evaluation, dataset quality audits, SpeechLM watchlist",Block A; core anchors and watchlist,24,24,24,Expanded seed_paper_map.csv to a 24-paper registry; added verification and evidence records; pseudo-labeling and KD remain for later block.
2026-06-09,ACL Anthology,multilingual speech corpus ASR benchmark,2019-2026,Not counted; broad discovery row,Not counted; targeted verification captured below,Common Voice; VoxPopuli,Primary-source verification for corpus and benchmark anchors
2026-06-09,ISCA Archive,multilingual speech benchmark ASR low-resource,2019-2026,Not counted; broad discovery row,Not counted; targeted verification captured below,ML-SUPERB; ML-SUPERB 2.0; AfriVox; LoASR-Bench,Proceedings verification needed
2026-06-09,IEEE Xplore,low-resource ASR benchmark multilingual speech recognition,2019-2026,Not counted; broad discovery row,Not counted; targeted verification captured below,FLEURS; E2E ASR survey,Verify venue and DOI
2026-06-09,Google Scholar,multilingual speech corpus benchmark low-resource ASR,2019-2026,Not counted; broad discovery row,Not counted; targeted verification captured below,Common Voice; VoxPopuli; CMU Wilderness; XTREME-S,Citation-chaining and broad discovery pass
2026-06-09,ACM / AAAI / Springer / Elsevier,speech recognition benchmark multilingual low-resource evaluation,2019-2026,Not counted; broad discovery row,Not counted; targeted verification captured below,IndicSUPERB; AfriSpeech-200; dataset quality audit,Cross-publisher verification pass
2026-06-09,Citation chaining,from benchmark papers to related corpus and challenge papers,Seed papers only,Not counted; broad discovery row,Not counted; targeted verification captured below,OpenASR20; OpenASR21; FormosanBench; Faetar benchmark,Snowballing from benchmark anchors
2026-06-09,NeurIPS Proceedings,self-supervised speech representation ASR,2019-2026,Not counted; broad discovery row,Not counted; targeted verification captured below,wav2vec 2.0,Primary proceedings verification
2026-06-09,arXiv,speech foundation model low-resource ASR benchmark 2025 2026,2025-2026,Not counted; broad discovery row,Not counted; targeted verification captured below,LoASR-Bench; SpeechLM survey; emerging SpeechLM benchmarks,Watchlist only unless peer-reviewed
2026-06-09,PMLR,data2vec BEST-RQ ICML speech self-supervised learning,Primary venue source,Not counted; broad discovery row,Not counted; targeted verification captured below,BB07 data2vec; BB14 Whisper,Block B primary-source verification trail; verify BEST-RQ separately if needed
2026-06-09,arXiv,Qwen2-Audio technical report speech audio language model,Technical report watchlist,Not counted; broad discovery row,Not counted; targeted verification captured below,BB18 Qwen2-Audio,Watchlist; not a peer-reviewed ASR anchor
2026-06-09,arXiv,Omnilingual ASR open-source multilingual speech recognition 1600 languages,Watchlist preprint,Not counted; broad discovery row,Not counted; targeted verification captured below,BB23 Omnilingual ASR,Watchlist; needs independent/venue verification before strong manuscript claims
2026-06-09,ACL Anthology,Common Voice multilingual speech corpus,2019-2026,1,1,BA04,Verified LREC 2020 metadata and BibTeX
2026-06-09,ACL Anthology,VoxPopuli multilingual speech corpus,2019-2026,1,1,BA05,Verified ACL-IJCNLP 2021 metadata and DOI
2026-06-09,OpenReview,vq-wav2vec ICLR 2020,2019-2026,1,1,BB01,Verified ICLR/OpenReview primary source
2026-06-09,NeurIPS Proceedings,wav2vec 2.0 self-supervised speech representations,2019-2026,1,1,BB02,Verified NeurIPS 2020 primary source
2026-06-09,ISCA Archive,XLSR cross-lingual speech representation,2019-2026,1,1,BB03,Verified Interspeech 2021 primary source
2026-06-09,ISCA Archive,XLS-R self-supervised cross-lingual speech representation,2019-2026,1,1,BB09,Verified Interspeech 2022 primary source
2026-06-09,PMLR,Whisper robust speech recognition large scale weak supervision,2019-2026,1,1,BB14,Verified ICML 2023 primary source
2026-06-09,JMLR,Scaling Speech Technology to 1000 Languages MMS,2019-2026,1,1,BB16,Verified JMLR primary source
2026-06-09,arXiv,LoASR-Bench low-resource ASR SpeechLM,2025-2026,1,1,BB25,Watchlist only
2026-06-09,ISCA Archive,audio augmentation for speech recognition,2015,1,1,BC01,Verified Interspeech 2015 primary source; DOI 10.21437/Interspeech.2015-711
2026-06-09,ISCA Archive,SpecAugment simple data augmentation automatic speech recognition,2019,1,1,BC02,Verified Interspeech 2019 primary source; DOI 10.21437/Interspeech.2019-2680
2026-06-09,ACL Anthology,Common Voice massively multilingual speech corpus,2019-2026,1,1,BC03,Verified LREC 2020 primary source and BibTeX
2026-06-09,ISCA Archive,MLS large-scale multilingual dataset speech research,2020,1,1,BC04,Verified Interspeech 2020 primary source; DOI 10.21437/Interspeech.2020-2826
2026-06-09,ACL Anthology,VoxPopuli multilingual speech corpus semi-supervised learning,2021,1,1,BC05,Verified ACL-IJCNLP 2021 primary source and DOI
2026-06-09,ISCA Archive,Discriminative Self-Training for Punctuation Prediction,2021,1,1,BC08,Verified Interspeech 2021 primary source; DOI 10.21437/Interspeech.2021-246
2026-06-09,ISCA Archive,ML-SUPERB multilingual speech universal performance benchmark,2023,1,1,BC09,Verified Interspeech 2023 primary source; DOI 10.21437/Interspeech.2023-1316
2026-06-09,arXiv,GigaSpeech 2 low-resource data crawling forced alignment filtering,2024,1,1,BC13,Watchlist only
2026-06-09,arXiv,heterogeneous data sources speech-to-text foundation models filtering punctuation truecasing,2024,1,1,BC12,Watchlist only
2026-06-09,arXiv,low-resource ASR data augmentation self-training minority languages,2023-2026,1,1,BC14,Watchlist only
2026-06-09,arXiv,pseudo-label filtering data selection domain adaptation ASR,2025,1,1,BC17,Watchlist only
2026-06-09,PMLR,Parameter-efficient transfer learning adapters ICML,2019-2026,1,1,BD01,Verified adapter method anchor
2026-06-09,OpenReview,LoRA low-rank adaptation ICLR 2022,2019-2026,1,1,BD02,Verified LoRA method anchor
2026-06-09,OpenReview,QLoRA efficient finetuning quantized LLMs NeurIPS 2023,2019-2026,1,1,BD03,Verified QLoRA method anchor
2026-06-09,ISCA Archive,XLSR cross-lingual speech representation fine-tuning,2019-2026,1,1,BD04,Verified cross-lingual transfer anchor
2026-06-09,ISCA Archive,XLS-R self-supervised cross-lingual speech representation,2019-2026,1,1,BD05,Verified multilingual transfer anchor
2026-06-09,PMLR,Whisper robust speech recognition large-scale weak supervision,2019-2026,1,1,BD06,Verified foundation ASR baseline
2026-06-09,JMLR,MMS Scaling Speech Technology to 1000 Languages,2019-2026,1,1,BD07,Verified multilingual ASR expansion anchor
2026-06-09,ISCA Archive,Language-Universal Phonetic Representation low-resource speech recognition,2019-2026,1,1,BD09,Verified phonetic-informed adaptation anchor
2026-06-09,ISCA Archive,Kanyen'keha speech foundation models ASR low-resource,2025,1,1,BD10,Verified low-resource SFM evaluation
2026-06-09,arXiv,Depth-aware adaptation efficient multilingual speech recognition low-resource,2026,1,1,BD19,Watchlist-current
