PaperID,Title,Year,Venue,PublicationType,Category,RQ,TaxonomyLayer,VenueTier,RelevanceScore,ReferenceRole,AnchorType,MethodOrContribution,DatasetOrBenchmark,LanguageCoverage,Evaluation,MainFinding,Limitations,UseInReview,VerificationStatus,UseLevel
BA01,Automatic speech recognition for under-resourced languages: A survey,2014,Speech Communication,JournalArticle,Survey,RQ1;RQ3;RQ5,Foundations|Low-resource framing,Strong,5,CoreAnchor,HistoricalSurveyAnchor,"Narrative survey of challenges, corpora, and multilingual adaptation for under-resourced ASR",N/A survey,Under-resourced languages across pre-2014 ASR literature,N/A survey synthesis,"Established the canonical problem framing for under-resourced ASR and emphasized multilingual transfer, data creation, and language-specific adaptation.","Predates SSL, foundation models, and modern multilingual benchmarks.",Use in the introduction and historical background to show what changed after the pre-foundation-model era.,Verified-primary-source,Core-citable
BA02,End-to-End Speech Recognition: A Survey,2024,"IEEE/ACM Transactions on Audio, Speech, and Language Processing",JournalArticle,Survey,RQ2;RQ3,Foundations|ASR architectures,Top-tier,5,CoreAnchor,MethodTaxonomySurvey,"Taxonomy survey of CTC, attention, transducer, decoding, and LM integration",N/A survey,ASR literature up to 2024,N/A survey synthesis,Provides a recent field-level taxonomy of end-to-end ASR and clarifies the transition from classical to neural ASR.,Broad ASR survey rather than low-resource-specific; limited coverage of post-2024 SpeechLM developments.,Anchor the from-hybrid-to-end-to-end and foundation-model sections and stabilize terminology.,Verified-primary-source,Core-citable
BA03,Recent Advances in Speech Language Models: A Survey,2024,arXiv 2024,Preprint,Survey,RQ2;RQ6,Future|SpeechLM and LLM trends,Watchlist,4,HighValue,SpeechLMSurveyAnchor,"Comprehensive survey of SpeechLM architectures, training, evaluation, and open challenges",N/A survey,SpeechLM literature,N/A survey synthesis,Best recent survey anchor for the SpeechLM era and a bridge into LLM-assisted speech directions.,Not low-resource-specific; examples may age quickly in a fast-moving area.,Use in the foundation-model and LLM-assisted future-directions sections.,Watchlist-ArXiv,Watchlist-only
BA04,Common Voice: A Massively-Multilingual Speech Corpus,2020,LREC 2020,ConferencePaper,DatasetAnchor,RQ1;RQ5,Resources|Open multilingual corpora,Strong,5,BenchmarkAnchor,OpenCorpusAnchor,Crowdsourced multilingual speech corpus construction with baseline ASR experiments,Common Voice corpus,Massively multilingual crowdsourced speech; 29 released languages at paper time,Corpus statistics; CER baselines,Established a major public multilingual speech resource that enabled many low-resource ASR baselines.,"Data quality, demographic balance, and transcript consistency vary by language and release.",Core entry in the dataset table and discussion of crowdsourced resource construction.,Verified-primary-source,Core-citable
BA05,"VoxPopuli: A Large-Scale Multilingual Speech Corpus for Representation Learning, Semi-Supervised Learning and Interpretation",2021,ACL-IJCNLP 2021 Long Papers,ConferencePaper,DatasetAnchor,RQ1;RQ2;RQ5,Resources|Pretraining corpora,Top-tier,4,BenchmarkAnchor,PretrainingCorpusAnchor,Large-scale multilingual speech corpus curation from European Parliament recordings,VoxPopuli corpus,400k hours unlabeled in 23 languages; 1.8k hours transcribed in 15 languages,Corpus statistics; SSL and semi-supervised downstream evaluation,Provides a large multilingual unlabeled corpus that became a key pretraining resource for speech representation learning.,Domain is formal parliamentary speech and coverage is not optimized for the very lowest-resource languages.,Use in the resource taxonomy to distinguish training corpora from evaluation benchmarks.,Verified-primary-source,Core-citable
BA06,FLEURS: Few-shot Learning Evaluation of Universal Representations of Speech,2022,IEEE SLT 2022,ConferencePaper,BenchmarkAnchor,RQ1;RQ2;RQ5,Resources|Cross-lingual benchmarks,Strong,5,BenchmarkAnchor,CrossLingualBenchmarkAnchor,N-way parallel multilingual benchmark with few-shot baselines,FLEURS benchmark,102 languages; approximately 12 hours supervision per language,ASR; speech language identification; translation; retrieval,Created a reusable parallel benchmark that made multilingual low-resource comparison more standardized.,"Primarily read speech with fixed prompts; underrepresents spontaneous, noisy, and dialectally rich speech.",Flag as a central benchmark anchor in the resources and evaluation sections.,Verified-secondary-source; primary source pending,High-value-citable
BA07,ML-SUPERB: Multilingual Speech Universal PERformance Benchmark,2023,Interspeech 2023,ConferencePaper,BenchmarkAnchor,RQ2;RQ5,Evaluation|Multilingual benchmark,Top-tier,5,BenchmarkAnchor,MultilingualBenchmarkAnchor,Frozen-feature multilingual benchmark for ASR and language identification,ML-SUPERB benchmark,143 languages; ASR and LID tasks,WER; LID accuracy,Extended SUPERB beyond English and showed that multilingual SSL benchmarking needs wider language coverage and reproducible protocols.,Original setup fixes a shallow downstream model and mostly probes frozen representations.,Use as the first benchmark anchor for multilingual speech foundation-model evaluation.,Verified-primary-source,Core-citable
BA08,"ML-SUPERB 2.0: Benchmarking Multilingual Speech Models Across Modeling Constraints, Languages, and Datasets",2024,Interspeech 2024,ConferencePaper,BenchmarkAnchor,RQ2;RQ3;RQ5,Evaluation|Benchmark extension and adaptation,Top-tier,5,BenchmarkAnchor,BenchmarkExtensionAnchor,"Benchmark extension across downstream architectures, fine-tuning, adapters, LoRA, and supervised models",ML-SUPERB 2.0 benchmark,142 languages across 15 datasets; about 300 hours total,WER; LID accuracy; robustness across languages and datasets,Shows that benchmark rankings depend strongly on architecture and adaptation setup and that cross-language performance differences remain large.,Still constrained by benchmark-scale data budgets and selected task formulations.,Use in adaptation and evaluation sections to connect benchmark design with parameter-efficient tuning choices.,Verified-primary-source,Core-citable
BA09,The ML-SUPERB 2.0 Challenge: Towards Inclusive ASR Benchmarking for All Language Varieties,2025,Interspeech 2025,ConferencePaper,BenchmarkAnchor,RQ5;RQ6,Evaluation|Dialect-fairness benchmark,Top-tier,5,BenchmarkAnchor,InclusiveChallengeAnchor,Open challenge benchmark with hidden multilingual and dialectal evaluation server,ML-SUPERB 2.0 Challenge,149 languages and 93 language varieties; 200+ language/variety suite,"ASR error rates; robustness and fairness across languages, accents, and dialects",Pushes benchmark design toward inclusive ASR evaluation and shows that strong systems still underperform on accented and dialectal speech.,Challenge protocol and hidden-test design are powerful but not a replacement for broad real-world deployment studies.,"Anchor the evaluation-beyond-WER discussion, especially dialect and fairness coverage.",Verified-primary-source,Core-citable
BA10,Data Quality Issues in Multilingual Speech Datasets: The Need for Sociolinguistic Awareness and Proactive Language Planning,2025,arXiv 2025,Preprint,BenchmarkAudit,RQ1;RQ5,Evaluation|Dataset quality and reproducibility,Watchlist/HighValue,5,HighValue,BenchmarkQualityAudit,Micro- and macro-level quality audit of multilingual speech datasets,"Audit of Common Voice 17.0, FLEURS, and VoxPopuli",Common Voice 17.0; FLEURS; VoxPopuli,"Dataset quality statistics; transcript, audio, and speech-silence audits",Demonstrates that widely used multilingual speech datasets contain systematic quality problems that affect fair evaluation and reproducibility.,Covers three public datasets rather than the full benchmark ecosystem.,"Use in critical synthesis to argue that low-resource ASR progress is data-limited and benchmark-sensitive, not only model-limited.",Verified-secondary-source; venue pending,High-value-citable
BA11,Self-Supervised Speech Representation Learning: A Review,2022,IEEE Journal on Selected Topics in Signal Processing,JournalArticle,Survey,RQ2;RQ3,Foundations|SSL survey,Top-tier,5,CoreAnchor,SSLSurveyAnchor,Review of self-supervised speech learning paradigms and downstream implications,SSL speech literature,Broad speech literature,Review synthesis,Canonical bridge from label scarcity to reusable speech representations.,Broader than ASR alone; not low-resource-specific.,Use in SSL/foundation-model precursor section and data-scarcity framing.,Verified-primary-source,Core-citable
BA12,A Historical Perspective of Speech Recognition,2014,Communications of the ACM,JournalArticle,Survey,RQ1,Foundations|Historical framing,Top-tier,3,HighValue,HistoricalReviewAnchor,Historical review of major ASR advances,Historical ASR field,General ASR,Historical synthesis,Useful historical background for pre-SSL and pre-foundation-model framing.,Not low-resource-specific.,Use only in historical background and transition from classical to modern ASR.,Verified-primary-source,Core-citable
BA13,Speech recognition and keyword spotting for low-resource languages: Babel project research at CUED,2014,SLTU 2014,WorkshopPaper,Benchmark,RQ1;RQ3;RQ6,Hist|Bench,Strong,4,BenchmarkAnchor,HistoricalLowResourceBenchmark,Foundational low-resource ASR and KWS program paper grounded in Babel,IARPA Babel language packs,Multiple under-resourced languages,ASR and KWS under limited/full data,Establishes enduring low-resource bottlenecks and challenge-style evaluation logic.,Workshop venue; predates foundation models.,Use in historical benchmark lineage and constrained-data evaluation discussion.,Verified-primary-source,Core-citable
BA14,OpenASR20: An Open Challenge for Automatic Speech Recognition of Conversational Telephone Speech in Low-Resource Languages,2021,Interspeech 2021,ConferencePaper,Benchmark,RQ1;RQ3;RQ6,Bench|Eval,Top-tier,4,HighValue,ChallengeBenchmarkAnchor,Open challenge for conversational low-resource telephone speech ASR,OpenASR20 / IARPA MATERIAL,10 low-resource languages,Challenge WER under constrained settings,Open challenge for realistic low-resource CTS evaluation.,Challenge summary rather than broad benchmark family.,Use in evaluation section for realistic constrained CTS benchmarking.,Verified-primary-source,Core-citable
BA15,OpenASR21: The Second Open Challenge for Automatic Speech Recognition of Low-Resource Languages,2022,Interspeech 2022,ConferencePaper,Benchmark,RQ1;RQ3;RQ6,Bench|Eval,Top-tier,4,HighValue,ChallengeBenchmarkAnchor,Expanded open challenge with new languages and case-sensitive scoring,OpenASR21 / IARPA MATERIAL,15 low-resource languages,Challenge WER and case-sensitive scoring,Extends open challenge logic with more languages and rigorous scoring.,"Challenge-oriented, not a broad benchmark family.",Use in evaluation section and benchmark evolution discussion.,Verified-primary-source,Core-citable
BA16,SUPERB: Speech Processing Universal PERformance Benchmark,2021,Interspeech 2021,ConferencePaper,Benchmark,RQ2;RQ6,Bench|Eval,Top-tier,4,BenchmarkAnchor,BenchmarkFoundationAnchor,Universal benchmark for speech representation evaluation,SUPERB tasks,Mostly English,Multiple speech tasks,Field-defining benchmark design paper that shaped later multilingual benchmarks.,Mostly English; not low-resource-specific.,Use as background for benchmark evolution.,Verified-primary-source,Core-citable
BA17,XTREME-S: Evaluating Cross-lingual Speech Representations,2022,Interspeech 2022,ConferencePaper,Benchmark,RQ2;RQ6,Bench|Eval,Top-tier,4,BenchmarkAnchor,CrossLingualBenchmarkAnchor,Cross-lingual benchmark for speech representations,XTREME-S,102 languages,ASR and related tasks,Shows the move from generic speech benchmarks to cross-lingual evaluation.,Not focused exclusively on ASR or underrepresented languages.,Use as benchmark evolution support.,Verified-primary-source,Core-citable
BA18,IndicSUPERB: A Speech Processing Universal Performance Benchmark for Indian Languages,2023,Proceedings of the AAAI Conference on Artificial Intelligence,ConferencePaper,Benchmark,RQ1;RQ3;RQ6,Bench|Corpora,Top-tier,5,BenchmarkAnchor,RegionalBenchmarkAnchor,Regional multilingual benchmark with deeper labeled coverage across speech tasks,IndicSUPERB/Kathbath,12 Indian languages,ASR and auxiliary speech tasks,Strong example of region-aware benchmark design.,Region-specific rather than universal.,Use in regional benchmark and evaluation discussion.,Verified-primary-source,Core-citable
BA19,MLS: A Large-Scale Multilingual Dataset for Speech Research,2020,Interspeech 2020,ConferencePaper,Benchmark,RQ1;RQ3,Corpora,Top-tier,4,HighValue,CorpusAnchor,Large multilingual transcribed corpus with ASR baselines,MLS,8 languages,Dataset paper with ASR baselines,Strong resource anchor for multilingual ASR scaling.,More read-speech than many real-world low-resource settings.,Use in resources/corpora section as major transcribed multilingual corpus.,Verified-primary-source,Core-citable
BA20,CMU Wilderness Multilingual Speech Dataset,2019,ICASSP 2019,ConferencePaper,Benchmark,RQ1;RQ3,Corpora,Top-tier,4,HighValue,ExtremeCoverageCorpusAnchor,Multilingual speech dataset release for low-resource experimentation,CMU Wilderness,Potentially 700 languages,ASR baselines,Useful early multilingual corpus anchor for the transition to modern pretraining corpora.,Older and less benchmark-centric than later datasets.,Use as historical multilingual corpus background.,Verified-primary-source,Core-citable
BA21,AfriSpeech-200: Pan-African Accented Speech Dataset for Clinical and General Domain ASR,2023,Transactions of the Association for Computational Linguistics,DatasetPaper,Benchmark,RQ1;RQ6,Bench|Fair/Dialect,Top-tier,4,BenchmarkAnchor,AccentRobustnessBenchmarkAnchor,Pan-African accented English ASR benchmark with public baselines,AfriSpeech-200,120 accents across 13 countries,WER,Makes accent bias and African speech coverage benchmarkable.,English-focused.,Use in fairness/accent robustness section.,Verified-primary-source,Core-citable
