CoreID,PrimaryPaperID,RelatedPaperIDs,CitationKey,BibTeXStatus,CitationLogStatus,Title,Year,Venue,VenueTier,VerificationStatus,UseLevel,Blocks,RQs,TaxonomyLayer,CoreRole,UseInSections,QualityRationale,RiskLevel,Notes
CORE-01,BA01,BA01,besacier2014_underresourced_asr_survey,Needs-BibTeX,Verified-primary-source,Automatic speech recognition for under-resourced languages: A survey,2014,Speech Communication,Strong,Verified-primary-source,Core-citable,A: framing/datasets/benchmarks,RQ1;RQ3;RQ5,Foundations|Low-resource framing,Conceptual framing and review baseline,Low-resource definition; scope; taxonomy,Strong venue | Verified-primary-source | relevance 5/5,Medium: verified in log but BibTeX entry still needed,Central support; do not overclaim beyond matrix limitations.
CORE-02,BA02,BA02,prabhavalkar2023_e2e_asr_survey,Present,Verified-primary-source,End-to-End Speech Recognition: A Survey,2024,"IEEE/ACM Transactions on Audio, Speech, and Language Processing",Top-tier,Verified-primary-source,Core-citable,A: framing/datasets/benchmarks,RQ2;RQ3,Foundations|ASR architectures,Conceptual framing and review baseline,Foundation-model evolution; model families,Top-tier venue | Verified-primary-source | relevance 5/5,Low,Central support; do not overclaim beyond matrix limitations.
CORE-03,BA04,BA04;BC03,ardila2020commonvoice,Present,Verified-primary-source,Common Voice: A Massively-Multilingual Speech Corpus,2020,LREC 2020,Strong,Verified-primary-source,Core-citable,A: framing/datasets/benchmarks; C: data-centric strategies,RQ1;RQ5,Resources|Open multilingual corpora,Low-resource ASR framing and benchmark context,Low-resource definition; scope; taxonomy,Strong venue | Verified-primary-source | relevance 5/5,Low,Central support; do not overclaim beyond matrix limitations.
CORE-04,BA07,BA07;BC09;BD08;BF01,shi2023mlsuperb,Present,Verified-primary-source,ML-SUPERB: Multilingual Speech Universal PERformance Benchmark,2023,Interspeech 2023,Top-tier,Verified-primary-source,Core-citable,A: framing/datasets/benchmarks; C: data-centric strategies; D: adaptation; F: evaluation/robustness,RQ2;RQ5,Evaluation|Multilingual benchmark,Low-resource ASR framing and benchmark context,Foundation-model evolution; model families,Top-tier venue | Verified-primary-source | relevance 5/5,Low,Central support; do not overclaim beyond matrix limitations.
CORE-05,BA08,BA08,shi2024mlsuperb2,Present,Verified-primary-source,"ML-SUPERB 2.0: Benchmarking Multilingual Speech Models Across Modeling Constraints, Languages, and Datasets",2024,Interspeech 2024,Top-tier,Verified-primary-source,Core-citable,A: framing/datasets/benchmarks,RQ2;RQ3;RQ5,Evaluation|Benchmark extension and adaptation,Dataset/benchmark backbone for low-resource ASR,Foundation-model evolution; model families,Top-tier venue | Verified-primary-source | relevance 5/5,Low,Central support; do not overclaim beyond matrix limitations.
CORE-06,BA09,BA09,chen2025mlsuperb2challenge,Present,Verified-primary-source,The ML-SUPERB 2.0 Challenge: Towards Inclusive ASR Benchmarking for All Language Varieties,2025,Interspeech 2025,Top-tier,Verified-primary-source,Core-citable,A: framing/datasets/benchmarks,RQ5;RQ6,Evaluation|Dialect-fairness benchmark,Low-resource ASR framing and benchmark context,Pseudo-labeling; KD; self-training,Top-tier venue | Verified-primary-source | relevance 5/5,Low,Central support; do not overclaim beyond matrix limitations.
CORE-07,BA10,BA10,lau2025_data_quality_multilingual_speech,Needs-BibTeX,Verified-secondary-source; venue pending,Data Quality Issues in Multilingual Speech Datasets: The Need for Sociolinguistic Awareness and Proactive Language Planning,2025,arXiv 2025,Watchlist/HighValue,Verified-secondary-source; venue pending,High-value-citable,A: framing/datasets/benchmarks,RQ1;RQ5,Evaluation|Dataset quality and reproducibility,Dataset/benchmark backbone for low-resource ASR,Low-resource definition; scope; taxonomy,Watchlist/HighValue venue | Verified-secondary-source; venue pending | relevance 5/5,Medium: verified in log but BibTeX entry still needed,Central support; do not overclaim beyond matrix limitations.
CORE-08,BA11,BA11,mohamed2022_ssl_review,Present,Verified-primary-source,Self-Supervised Speech Representation Learning: A Review,2022,IEEE Journal on Selected Topics in Signal Processing,Top-tier,Verified-primary-source,Core-citable,A: framing/datasets/benchmarks,RQ2;RQ3,Foundations|SSL survey,Conceptual framing and review baseline,Foundation-model evolution; model families,Top-tier venue | Verified-primary-source | relevance 5/5,Low,Central support; do not overclaim beyond matrix limitations.
CORE-09,BA13,BA13,gales2014_babel_project_research_cued,Needs-BibTeX,Verified-primary-source,Speech recognition and keyword spotting for low-resource languages: Babel project research at CUED,2014,SLTU 2014,Strong,Verified-primary-source,Core-citable,A: framing/datasets/benchmarks,RQ1;RQ3;RQ6,Hist|Bench,Low-resource ASR framing and benchmark context,Low-resource definition; scope; taxonomy,Strong venue | Verified-primary-source | relevance 4/5,Medium: verified in log but BibTeX entry still needed,Central support; do not overclaim beyond matrix limitations.
CORE-10,BA15,BA15,peterson2022_openasr21,Needs-BibTeX,Verified-primary-source,OpenASR21: The Second Open Challenge for Automatic Speech Recognition of Low-Resource Languages,2022,Interspeech 2022,Top-tier,Verified-primary-source,Core-citable,A: framing/datasets/benchmarks,RQ1;RQ3;RQ6,Bench|Eval,Low-resource ASR framing and benchmark context,Low-resource definition; scope; taxonomy,Top-tier venue | Verified-primary-source | relevance 4/5,Medium: verified in log but BibTeX entry still needed,Central support; do not overclaim beyond matrix limitations.
