PaperID,StrategyFamily,Paper,Year,Venue,DataCondition,LanguagesOrDatasets,DataOperation,QualityControl,EvaluationUse,Strength,Limitation,UseInReview,VerificationStatus,UseLevel
BC01,Audio augmentation,Audio augmentation for speech recognition,2015,Interspeech 2015,Low-resource ASR data strategy,ASR training corpora,Speed perturbation and audio-level augmentation,Primary-source verified,WER after augmentation,Simple foundational augmentation method,"Older general-ASR method, not low-resource-specific",Block C audio augmentation subsection.,Verified-primary-source,Core-citable
BC02,Feature augmentation,SpecAugment: A Simple Data Augmentation Method for Automatic Speech Recognition,2019,Interspeech 2019,Low-resource ASR data strategy,ASR feature sequences,Time/frequency masking and warping,Primary-source verified,WER after feature augmentation,Standard robust augmentation recipe,Not originally low-resource-specific,Block C feature augmentation subsection.,Verified-primary-source,Core-citable
BC03,Crowdsourced validation,Common Voice: A Massively-Multilingual Speech Corpus,2020,LREC 2020,Low-resource ASR data strategy,Common Voice,Crowdsourced collection and validation,Primary-source verified,Corpus statistics and ASR baselines,Large open multilingual collection model,Uneven coverage and transcript quality,Block C corpus collection and validation; carryover from Block A.,Verified-primary-source,Core-citable
BC04,Corpus construction,MLS: A Large-Scale Multilingual Dataset for Speech Research,2020,Interspeech 2020,Low-resource ASR data strategy,MLS,Multilingual audiobook corpus construction,Primary-source verified,ASR and LM baselines,Large multilingual corpus construction example,Read-speech/audiobook domain limits deployment relevance,Block C corpus construction; carryover from Block A.,Verified-primary-source,Core-citable
BC05,Unlabeled data use,"VoxPopuli: A Large-Scale Multilingual Speech Corpus for Representation Learning, Semi-Supervised Learning and Interpretation",2021,ACL-IJCNLP 2021,Low-resource ASR data strategy,VoxPopuli,Unlabeled and transcribed data construction,Primary-source verified,Representation learning and ASR tasks,Strong example of unlabeled multilingual speech use,Formal parliamentary domain skew,Block C unlabeled-data use; carryover from Block A.,Verified-primary-source,Core-citable
BC06,Unlabeled data use,Libri-Light: A Benchmark for ASR with Limited or No Supervision,2020,arXiv / venue pending,Low-resource ASR data strategy,Libri-Light,Large unlabeled audio benchmark construction,Secondary-source verification,Limited/no-supervision ASR,Useful unlabeled-data benchmark,Venue and domain scope need checking,Block C support for unlabeled-data strategies.,Verified-secondary-source,High-value-support
BC07,Data filtering,GigaSpeech,2021,arXiv / venue pending,Low-resource ASR data strategy,GigaSpeech,"Forced alignment, segmentation, filtering",Secondary-source verification,ASR baselines,Shows corpus pipelines are active data strategies,Venue pending; English-focused,Block C corpus-pipeline support.,Verified-secondary-source,High-value-support
BC08,Transcript formatting / post-ASR normalization,Discriminative Self-Training for Punctuation Prediction,2021,Interspeech 2021,Low-resource ASR data strategy,Transcript post-processing tasks,Self-training for punctuation restoration,Primary-source verified,Punctuation prediction metrics,Useful transcript-formatting anchor,Not direct ASR modeling evidence,"Use as supporting evidence for transcript formatting and punctuation restoration, not as a core ASR data-resource anchor.",Verified-primary-source,High-value-citable
BC09,Corpus construction,ML-SUPERB: Multilingual Speech Universal PERformance Benchmark,2023,Interspeech 2023,Low-resource ASR data strategy,ML-SUPERB; 143 languages,Benchmark organization and reproducible scripts,Primary-source verified,ASR and language identification,Core reproducibility and benchmark organization anchor,Benchmark scope may miss deployment settings,Block C benchmark organization and reproducibility.,Verified-primary-source,Core-citable
BC10,Pseudo-label filtering,Unsupervised Domain Adaptation for Speech Recognition via Uncertainty Driven Self-Training,2021,"arXiv / likely ICASSP, venue pending",Low-resource ASR data strategy,Domain adaptation ASR tasks,Uncertainty-driven pseudo-label filtering,Secondary-source verification,WER after self-training,Connects data selection to adaptation,Reserve for Block E; venue pending,Bridge to Block E; mention in Block C only under pseudo-label filtering/data selection.,Verified-secondary-source,High-value-citable
